case,kind,product_under_test,param,match_mode,day,product,pnl
baseline,baseline,,,default,2,SLEEP_POD_LAMB_WOOL,7141
baseline,baseline,,,default,2,SLEEP_POD_NYLON,2191
baseline,baseline,,,default,2,SLEEP_POD_POLYESTER,17615
baseline,baseline,,,default,2,SLEEP_POD_SUEDE,10064
baseline,baseline,,,default,2,SNACKPACK_CHOCOLATE,8445
baseline,baseline,,,default,2,SNACKPACK_PISTACHIO,7750
baseline,baseline,,,default,2,SNACKPACK_RASPBERRY,13450
baseline,baseline,,,default,2,SNACKPACK_STRAWBERRY,6250
baseline,baseline,,,default,2,SNACKPACK_VANILLA,6080
baseline,baseline,,,default,2,TRANSLATOR_ASTRO_BLACK,-1136
baseline,baseline,,,default,2,TRANSLATOR_ECLIPSE_CHARCOAL,-2587
baseline,baseline,,,default,2,TRANSLATOR_GRAPHITE_MIST,226
baseline,baseline,,,default,2,TRANSLATOR_SPACE_GRAY,0
baseline,baseline,,,default,2,TRANSLATOR_VOID_BLUE,5339
baseline,baseline,,,default,2,UV_VISOR_AMBER,13933
baseline,baseline,,,default,2,UV_VISOR_MAGENTA,17813
baseline,baseline,,,default,2,UV_VISOR_ORANGE,5338
baseline,baseline,,,default,2,UV_VISOR_RED,7582
baseline,baseline,,,default,2,UV_VISOR_YELLOW,4356
baseline,baseline,,,default,3,GALAXY_SOUNDS_BLACK_HOLES,6391
baseline,baseline,,,default,3,GALAXY_SOUNDS_DARK_MATTER,1162
baseline,baseline,,,default,3,GALAXY_SOUNDS_PLANETARY_RINGS,-389
baseline,baseline,,,default,3,GALAXY_SOUNDS_SOLAR_FLAMES,9240
baseline,baseline,,,default,3,GALAXY_SOUNDS_SOLAR_WINDS,13780
baseline,baseline,,,default,3,MICROCHIP_CIRCLE,1727
baseline,baseline,,,default,3,MICROCHIP_OVAL,18822
baseline,baseline,,,default,3,MICROCHIP_RECTANGLE,3904
baseline,baseline,,,default,3,MICROCHIP_SQUARE,32872
baseline,baseline,,,default,3,MICROCHIP_TRIANGLE,10233
baseline,baseline,,,default,3,OXYGEN_SHAKE_CHOCOLATE,10434
baseline,baseline,,,default,3,OXYGEN_SHAKE_EVENING_BREATH,7882
baseline,baseline,,,default,3,OXYGEN_SHAKE_GARLIC,-219
baseline,baseline,,,default,3,OXYGEN_SHAKE_MINT,-2572
baseline,baseline,,,default,3,OXYGEN_SHAKE_MORNING_BREATH,8159
baseline,baseline,,,default,3,PANEL_1X2,0
baseline,baseline,,,default,3,PANEL_1X4,4839
baseline,baseline,,,default,3,PANEL_2X2,5525
baseline,baseline,,,default,3,PANEL_2X4,6121
baseline,baseline,,,default,3,PANEL_4X4,0
baseline,baseline,,,default,3,PEBBLES_L,20743
baseline,baseline,,,default,3,PEBBLES_M,0
baseline,baseline,,,default,3,PEBBLES_S,5188
baseline,baseline,,,default,3,PEBBLES_XL,38715
baseline,baseline,,,default,3,PEBBLES_XS,9490
baseline,baseline,,,default,3,ROBOT_DISHES,15499
baseline,baseline,,,default,3,ROBOT_IRONING,20550
baseline,baseline,,,default,3,ROBOT_LAUNDRY,4651
baseline,baseline,,,default,3,ROBOT_MOPPING,-4805
baseline,baseline,,,default,3,ROBOT_VACUUMING,13873
baseline,baseline,,,default,3,SLEEP_POD_COTTON,10402
baseline,baseline,,,default,3,SLEEP_POD_LAMB_WOOL,6585
baseline,baseline,,,default,3,SLEEP_POD_NYLON,7216
baseline,baseline,,,default,3,SLEEP_POD_POLYESTER,-238
baseline,baseline,,,default,3,SLEEP_POD_SUEDE,11197
baseline,baseline,,,default,3,SNACKPACK_CHOCOLATE,9078
baseline,baseline,,,default,3,SNACKPACK_PISTACHIO,6570
baseline,baseline,,,default,3,SNACKPACK_RASPBERRY,10530
baseline,baseline,,,default,3,SNACKPACK_STRAWBERRY,970
baseline,baseline,,,default,3,SNACKPACK_VANILLA,7334
baseline,baseline,,,default,3,TRANSLATOR_ASTRO_BLACK,8967
baseline,baseline,,,default,3,TRANSLATOR_ECLIPSE_CHARCOAL,13679
baseline,baseline,,,default,3,TRANSLATOR_GRAPHITE_MIST,3246
baseline,baseline,,,default,3,TRANSLATOR_SPACE_GRAY,0
baseline,baseline,,,default,3,TRANSLATOR_VOID_BLUE,6956
baseline,baseline,,,default,3,UV_VISOR_AMBER,10176
baseline,baseline,,,default,3,UV_VISOR_MAGENTA,10135
baseline,baseline,,,default,3,UV_VISOR_ORANGE,4989
baseline,baseline,,,default,3,UV_VISOR_RED,3688
baseline,baseline,,,default,3,UV_VISOR_YELLOW,8065
baseline,baseline,,,default,4,GALAXY_SOUNDS_BLACK_HOLES,15710
baseline,baseline,,,default,4,GALAXY_SOUNDS_DARK_MATTER,17479
baseline,baseline,,,default,4,GALAXY_SOUNDS_PLANETARY_RINGS,6740
baseline,baseline,,,default,4,GALAXY_SOUNDS_SOLAR_FLAMES,16360
baseline,baseline,,,default,4,GALAXY_SOUNDS_SOLAR_WINDS,11785
baseline,baseline,,,default,4,MICROCHIP_CIRCLE,11944
baseline,baseline,,,default,4,MICROCHIP_OVAL,18905
baseline,baseline,,,default,4,MICROCHIP_RECTANGLE,19251
baseline,baseline,,,default,4,MICROCHIP_SQUARE,-20836
baseline,baseline,,,default,4,MICROCHIP_TRIANGLE,14252
baseline,baseline,,,default,4,OXYGEN_SHAKE_CHOCOLATE,5335
baseline,baseline,,,default,4,OXYGEN_SHAKE_EVENING_BREATH,12376
baseline,baseline,,,default,4,OXYGEN_SHAKE_GARLIC,21417
baseline,baseline,,,default,4,OXYGEN_SHAKE_MINT,2760
baseline,baseline,,,default,4,OXYGEN_SHAKE_MORNING_BREATH,3406
baseline,baseline,,,default,4,PANEL_1X2,0
baseline,baseline,,,default,4,PANEL_1X4,9532
baseline,baseline,,,default,4,PANEL_2X2,1919
baseline,baseline,,,default,4,PANEL_2X4,12639
baseline,baseline,,,default,4,PANEL_4X4,0
baseline,baseline,,,default,4,PEBBLES_L,14417
baseline,baseline,,,default,4,PEBBLES_M,0
baseline,baseline,,,default,4,PEBBLES_S,23192
baseline,baseline,,,default,4,PEBBLES_XL,68520
baseline,baseline,,,default,4,PEBBLES_XS,12280
baseline,baseline,,,default,4,ROBOT_DISHES,51216
baseline,baseline,,,default,4,ROBOT_IRONING,-1000
baseline,baseline,,,default,4,ROBOT_LAUNDRY,5656
baseline,baseline,,,default,4,ROBOT_MOPPING,7796
baseline,baseline,,,default,4,ROBOT_VACUUMING,-3122
baseline,baseline,,,default,4,SLEEP_POD_COTTON,8535
baseline,baseline,,,default,4,SLEEP_POD_LAMB_WOOL,19185
baseline,baseline,,,default,4,SLEEP_POD_NYLON,5290
baseline,baseline,,,default,4,SLEEP_POD_POLYESTER,6254
baseline,baseline,,,default,4,SLEEP_POD_SUEDE,-3255
baseline,baseline,,,default,4,SNACKPACK_CHOCOLATE,6056
baseline,baseline,,,default,4,SNACKPACK_PISTACHIO,762
baseline,baseline,,,default,4,SNACKPACK_RASPBERRY,10055
baseline,baseline,,,default,4,SNACKPACK_STRAWBERRY,12825
baseline,baseline,,,default,4,SNACKPACK_VANILLA,7290
baseline,baseline,,,default,4,TRANSLATOR_ASTRO_BLACK,2997
baseline,baseline,,,default,4,TRANSLATOR_ECLIPSE_CHARCOAL,13841
baseline,baseline,,,default,4,TRANSLATOR_GRAPHITE_MIST,18999
baseline,baseline,,,default,4,TRANSLATOR_SPACE_GRAY,0
baseline,baseline,,,default,4,TRANSLATOR_VOID_BLUE,5676
baseline,baseline,,,default,4,UV_VISOR_AMBER,1640
baseline,baseline,,,default,4,UV_VISOR_MAGENTA,5665
baseline,baseline,,,default,4,UV_VISOR_ORANGE,15240
baseline,baseline,,,default,4,UV_VISOR_RED,5432
baseline,baseline,,,default,4,UV_VISOR_YELLOW,5360
owned_mm_reduce__ROBOT_DISHES,owned_mm_reduce,ROBOT_DISHES,reduce,default,2,GALAXY_SOUNDS_BLACK_HOLES,16489
owned_mm_reduce__ROBOT_DISHES,owned_mm_reduce,ROBOT_DISHES,reduce,default,2,GALAXY_SOUNDS_DARK_MATTER,5538
owned_mm_reduce__ROBOT_DISHES,owned_mm_reduce,ROBOT_DISHES,reduce,default,2,GALAXY_SOUNDS_PLANETARY_RINGS,23295
owned_mm_reduce__ROBOT_DISHES,owned_mm_reduce,ROBOT_DISHES,reduce,default,2,GALAXY_SOUNDS_SOLAR_FLAMES,18066
owned_mm_reduce__ROBOT_DISHES,owned_mm_reduce,ROBOT_DISHES,reduce,default,2,GALAXY_SOUNDS_SOLAR_WINDS,965
owned_mm_reduce__ROBOT_DISHES,owned_mm_reduce,ROBOT_DISHES,reduce,default,2,MICROCHIP_CIRCLE,-511
owned_mm_reduce__ROBOT_DISHES,owned_mm_reduce,ROBOT_DISHES,reduce,default,2,MICROCHIP_OVAL,5618
owned_mm_reduce__ROBOT_DISHES,owned_mm_reduce,ROBOT_DISHES,reduce,default,2,MICROCHIP_RECTANGLE,16141
owned_mm_reduce__ROBOT_DISHES,owned_mm_reduce,ROBOT_DISHES,reduce,default,2,MICROCHIP_SQUARE,24261
owned_mm_reduce__ROBOT_DISHES,owned_mm_reduce,ROBOT_DISHES,reduce,default,2,MICROCHIP_TRIANGLE,6325
owned_mm_reduce__ROBOT_DISHES,owned_mm_reduce,ROBOT_DISHES,reduce,default,2,OXYGEN_SHAKE_CHOCOLATE,9314
owned_mm_reduce__ROBOT_DISHES,owned_mm_reduce,ROBOT_DISHES,reduce,default,2,OXYGEN_SHAKE_EVENING_BREATH,2117
owned_mm_reduce__ROBOT_DISHES,owned_mm_reduce,ROBOT_DISHES,reduce,default,2,OXYGEN_SHAKE_GARLIC,20407
owned_mm_reduce__ROBOT_DISHES,owned_mm_reduce,ROBOT_DISHES,reduce,default,2,OXYGEN_SHAKE_MINT,23230
owned_mm_reduce__ROBOT_DISHES,owned_mm_reduce,ROBOT_DISHES,reduce,default,2,OXYGEN_SHAKE_MORNING_BREATH,8368
owned_mm_reduce__ROBOT_DISHES,owned_mm_reduce,ROBOT_DISHES,reduce,default,2,PANEL_1X2,0
owned_mm_reduce__ROBOT_DISHES,owned_mm_reduce,ROBOT_DISHES,reduce,default,2,PANEL_1X4,16825
owned_mm_reduce__ROBOT_DISHES,owned_mm_reduce,ROBOT_DISHES,reduce,default,2,PANEL_2X2,7060
owned_mm_reduce__ROBOT_DISHES,owned_mm_reduce,ROBOT_DISHES,reduce,default,2,PANEL_2X4,4774
owned_mm_reduce__ROBOT_DISHES,owned_mm_reduce,ROBOT_DISHES,reduce,default,2,PANEL_4X4,0
owned_mm_reduce__ROBOT_DISHES,owned_mm_reduce,ROBOT_DISHES,reduce,default,2,PEBBLES_L,16790
owned_mm_reduce__ROBOT_DISHES,owned_mm_reduce,ROBOT_DISHES,reduce,default,2,PEBBLES_M,0
owned_mm_reduce__ROBOT_DISHES,owned_mm_reduce,ROBOT_DISHES,reduce,default,2,PEBBLES_S,20129
owned_mm_reduce__ROBOT_DISHES,owned_mm_reduce,ROBOT_DISHES,reduce,default,2,PEBBLES_XL,19620
owned_mm_reduce__ROBOT_DISHES,owned_mm_reduce,ROBOT_DISHES,reduce,default,2,PEBBLES_XS,9650
owned_mm_reduce__ROBOT_DISHES,owned_mm_reduce,ROBOT_DISHES,reduce,default,2,ROBOT_DISHES,3856
owned_mm_reduce__ROBOT_DISHES,owned_mm_reduce,ROBOT_DISHES,reduce,default,2,ROBOT_IRONING,4850
owned_mm_reduce__ROBOT_DISHES,owned_mm_reduce,ROBOT_DISHES,reduce,default,2,ROBOT_LAUNDRY,11939
owned_mm_reduce__ROBOT_DISHES,owned_mm_reduce,ROBOT_DISHES,reduce,default,2,ROBOT_MOPPING,4728
owned_mm_reduce__ROBOT_DISHES,owned_mm_reduce,ROBOT_DISHES,reduce,default,2,ROBOT_VACUUMING,-1758
owned_mm_reduce__ROBOT_DISHES,owned_mm_reduce,ROBOT_DISHES,reduce,default,2,SLEEP_POD_COTTON,13278
owned_mm_reduce__ROBOT_DISHES,owned_mm_reduce,ROBOT_DISHES,reduce,default,2,SLEEP_POD_LAMB_WOOL,7141
owned_mm_reduce__ROBOT_DISHES,owned_mm_reduce,ROBOT_DISHES,reduce,default,2,SLEEP_POD_NYLON,2191
owned_mm_reduce__ROBOT_DISHES,owned_mm_reduce,ROBOT_DISHES,reduce,default,2,SLEEP_POD_POLYESTER,17615
owned_mm_reduce__ROBOT_DISHES,owned_mm_reduce,ROBOT_DISHES,reduce,default,2,SLEEP_POD_SUEDE,10064
owned_mm_reduce__ROBOT_DISHES,owned_mm_reduce,ROBOT_DISHES,reduce,default,2,SNACKPACK_CHOCOLATE,8445
owned_mm_reduce__ROBOT_DISHES,owned_mm_reduce,ROBOT_DISHES,reduce,default,2,SNACKPACK_PISTACHIO,7750
owned_mm_reduce__ROBOT_DISHES,owned_mm_reduce,ROBOT_DISHES,reduce,default,2,SNACKPACK_RASPBERRY,13450
owned_mm_reduce__ROBOT_DISHES,owned_mm_reduce,ROBOT_DISHES,reduce,default,2,SNACKPACK_STRAWBERRY,6250
owned_mm_reduce__ROBOT_DISHES,owned_mm_reduce,ROBOT_DISHES,reduce,default,2,SNACKPACK_VANILLA,6080
owned_mm_reduce__ROBOT_DISHES,owned_mm_reduce,ROBOT_DISHES,reduce,default,2,TRANSLATOR_ASTRO_BLACK,-1136
owned_mm_reduce__ROBOT_DISHES,owned_mm_reduce,ROBOT_DISHES,reduce,default,2,TRANSLATOR_ECLIPSE_CHARCOAL,-2587
owned_mm_reduce__ROBOT_DISHES,owned_mm_reduce,ROBOT_DISHES,reduce,default,2,TRANSLATOR_GRAPHITE_MIST,226
owned_mm_reduce__ROBOT_DISHES,owned_mm_reduce,ROBOT_DISHES,reduce,default,2,TRANSLATOR_SPACE_GRAY,0
owned_mm_reduce__ROBOT_DISHES,owned_mm_reduce,ROBOT_DISHES,reduce,default,2,TRANSLATOR_VOID_BLUE,5339
owned_mm_reduce__ROBOT_DISHES,owned_mm_reduce,ROBOT_DISHES,reduce,default,2,UV_VISOR_AMBER,13933
owned_mm_reduce__ROBOT_DISHES,owned_mm_reduce,ROBOT_DISHES,reduce,default,2,UV_VISOR_MAGENTA,17813
owned_mm_reduce__ROBOT_DISHES,owned_mm_reduce,ROBOT_DISHES,reduce,default,2,UV_VISOR_ORANGE,5338
owned_mm_reduce__ROBOT_DISHES,owned_mm_reduce,ROBOT_DISHES,reduce,default,2,UV_VISOR_RED,7582
owned_mm_reduce__ROBOT_DISHES,owned_mm_reduce,ROBOT_DISHES,reduce,default,2,UV_VISOR_YELLOW,4356
owned_mm_reduce__ROBOT_DISHES,owned_mm_reduce,ROBOT_DISHES,reduce,default,3,GALAXY_SOUNDS_BLACK_HOLES,6391
owned_mm_reduce__ROBOT_DISHES,owned_mm_reduce,ROBOT_DISHES,reduce,default,3,GALAXY_SOUNDS_DARK_MATTER,1162
owned_mm_reduce__ROBOT_DISHES,owned_mm_reduce,ROBOT_DISHES,reduce,default,3,GALAXY_SOUNDS_PLANETARY_RINGS,-389
owned_mm_reduce__ROBOT_DISHES,owned_mm_reduce,ROBOT_DISHES,reduce,default,3,GALAXY_SOUNDS_SOLAR_FLAMES,9240
owned_mm_reduce__ROBOT_DISHES,owned_mm_reduce,ROBOT_DISHES,reduce,default,3,GALAXY_SOUNDS_SOLAR_WINDS,13780
owned_mm_reduce__ROBOT_DISHES,owned_mm_reduce,ROBOT_DISHES,reduce,default,3,MICROCHIP_CIRCLE,1727
owned_mm_reduce__ROBOT_DISHES,owned_mm_reduce,ROBOT_DISHES,reduce,default,3,MICROCHIP_OVAL,18822
owned_mm_reduce__ROBOT_DISHES,owned_mm_reduce,ROBOT_DISHES,reduce,default,3,MICROCHIP_RECTANGLE,3904
owned_mm_reduce__ROBOT_DISHES,owned_mm_reduce,ROBOT_DISHES,reduce,default,3,MICROCHIP_SQUARE,32872
owned_mm_reduce__ROBOT_DISHES,owned_mm_reduce,ROBOT_DISHES,reduce,default,3,MICROCHIP_TRIANGLE,10233
owned_mm_reduce__ROBOT_DISHES,owned_mm_reduce,ROBOT_DISHES,reduce,default,3,OXYGEN_SHAKE_CHOCOLATE,10434
owned_mm_reduce__ROBOT_DISHES,owned_mm_reduce,ROBOT_DISHES,reduce,default,3,OXYGEN_SHAKE_EVENING_BREATH,7882
owned_mm_reduce__ROBOT_DISHES,owned_mm_reduce,ROBOT_DISHES,reduce,default,3,OXYGEN_SHAKE_GARLIC,-219
owned_mm_reduce__ROBOT_DISHES,owned_mm_reduce,ROBOT_DISHES,reduce,default,3,OXYGEN_SHAKE_MINT,-2572
owned_mm_reduce__ROBOT_DISHES,owned_mm_reduce,ROBOT_DISHES,reduce,default,3,OXYGEN_SHAKE_MORNING_BREATH,8159
owned_mm_reduce__ROBOT_DISHES,owned_mm_reduce,ROBOT_DISHES,reduce,default,3,PANEL_1X2,0
owned_mm_reduce__ROBOT_DISHES,owned_mm_reduce,ROBOT_DISHES,reduce,default,3,PANEL_1X4,4839
owned_mm_reduce__ROBOT_DISHES,owned_mm_reduce,ROBOT_DISHES,reduce,default,3,PANEL_2X2,5525
owned_mm_reduce__ROBOT_DISHES,owned_mm_reduce,ROBOT_DISHES,reduce,default,3,PANEL_2X4,6121
owned_mm_reduce__ROBOT_DISHES,owned_mm_reduce,ROBOT_DISHES,reduce,default,3,PANEL_4X4,0
owned_mm_reduce__ROBOT_DISHES,owned_mm_reduce,ROBOT_DISHES,reduce,default,3,PEBBLES_L,20743
owned_mm_reduce__ROBOT_DISHES,owned_mm_reduce,ROBOT_DISHES,reduce,default,3,PEBBLES_M,0
owned_mm_reduce__ROBOT_DISHES,owned_mm_reduce,ROBOT_DISHES,reduce,default,3,PEBBLES_S,5188
owned_mm_reduce__ROBOT_DISHES,owned_mm_reduce,ROBOT_DISHES,reduce,default,3,PEBBLES_XL,38715
owned_mm_reduce__ROBOT_DISHES,owned_mm_reduce,ROBOT_DISHES,reduce,default,3,PEBBLES_XS,9490
owned_mm_reduce__ROBOT_DISHES,owned_mm_reduce,ROBOT_DISHES,reduce,default,3,ROBOT_DISHES,15438
owned_mm_reduce__ROBOT_DISHES,owned_mm_reduce,ROBOT_DISHES,reduce,default,3,ROBOT_IRONING,20550
owned_mm_reduce__ROBOT_DISHES,owned_mm_reduce,ROBOT_DISHES,reduce,default,3,ROBOT_LAUNDRY,4651
owned_mm_reduce__ROBOT_DISHES,owned_mm_reduce,ROBOT_DISHES,reduce,default,3,ROBOT_MOPPING,-4805
owned_mm_reduce__ROBOT_DISHES,owned_mm_reduce,ROBOT_DISHES,reduce,default,3,ROBOT_VACUUMING,13873
owned_mm_reduce__ROBOT_DISHES,owned_mm_reduce,ROBOT_DISHES,reduce,default,3,SLEEP_POD_COTTON,10402
owned_mm_reduce__ROBOT_DISHES,owned_mm_reduce,ROBOT_DISHES,reduce,default,3,SLEEP_POD_LAMB_WOOL,6585
owned_mm_reduce__ROBOT_DISHES,owned_mm_reduce,ROBOT_DISHES,reduce,default,3,SLEEP_POD_NYLON,7216
owned_mm_reduce__ROBOT_DISHES,owned_mm_reduce,ROBOT_DISHES,reduce,default,3,SLEEP_POD_POLYESTER,-238
owned_mm_reduce__ROBOT_DISHES,owned_mm_reduce,ROBOT_DISHES,reduce,default,3,SLEEP_POD_SUEDE,11197
owned_mm_reduce__ROBOT_DISHES,owned_mm_reduce,ROBOT_DISHES,reduce,default,3,SNACKPACK_CHOCOLATE,9078
owned_mm_reduce__ROBOT_DISHES,owned_mm_reduce,ROBOT_DISHES,reduce,default,3,SNACKPACK_PISTACHIO,6570
owned_mm_reduce__ROBOT_DISHES,owned_mm_reduce,ROBOT_DISHES,reduce,default,3,SNACKPACK_RASPBERRY,10530
owned_mm_reduce__ROBOT_DISHES,owned_mm_reduce,ROBOT_DISHES,reduce,default,3,SNACKPACK_STRAWBERRY,970
owned_mm_reduce__ROBOT_DISHES,owned_mm_reduce,ROBOT_DISHES,reduce,default,3,SNACKPACK_VANILLA,7334
owned_mm_reduce__ROBOT_DISHES,owned_mm_reduce,ROBOT_DISHES,reduce,default,3,TRANSLATOR_ASTRO_BLACK,8967
owned_mm_reduce__ROBOT_DISHES,owned_mm_reduce,ROBOT_DISHES,reduce,default,3,TRANSLATOR_ECLIPSE_CHARCOAL,13679
owned_mm_reduce__ROBOT_DISHES,owned_mm_reduce,ROBOT_DISHES,reduce,default,3,TRANSLATOR_GRAPHITE_MIST,3246
owned_mm_reduce__ROBOT_DISHES,owned_mm_reduce,ROBOT_DISHES,reduce,default,3,TRANSLATOR_SPACE_GRAY,0
owned_mm_reduce__ROBOT_DISHES,owned_mm_reduce,ROBOT_DISHES,reduce,default,3,TRANSLATOR_VOID_BLUE,6956
owned_mm_reduce__ROBOT_DISHES,owned_mm_reduce,ROBOT_DISHES,reduce,default,3,UV_VISOR_AMBER,10176
owned_mm_reduce__ROBOT_DISHES,owned_mm_reduce,ROBOT_DISHES,reduce,default,3,UV_VISOR_MAGENTA,10135
owned_mm_reduce__ROBOT_DISHES,owned_mm_reduce,ROBOT_DISHES,reduce,default,3,UV_VISOR_ORANGE,4989
owned_mm_reduce__ROBOT_DISHES,owned_mm_reduce,ROBOT_DISHES,reduce,default,3,UV_VISOR_RED,3688
owned_mm_reduce__ROBOT_DISHES,owned_mm_reduce,ROBOT_DISHES,reduce,default,3,UV_VISOR_YELLOW,8065
owned_mm_reduce__ROBOT_DISHES,owned_mm_reduce,ROBOT_DISHES,reduce,default,4,GALAXY_SOUNDS_BLACK_HOLES,15710
owned_mm_reduce__ROBOT_DISHES,owned_mm_reduce,ROBOT_DISHES,reduce,default,4,GALAXY_SOUNDS_DARK_MATTER,17479
owned_mm_reduce__ROBOT_DISHES,owned_mm_reduce,ROBOT_DISHES,reduce,default,4,GALAXY_SOUNDS_PLANETARY_RINGS,6740
owned_mm_reduce__ROBOT_DISHES,owned_mm_reduce,ROBOT_DISHES,reduce,default,4,GALAXY_SOUNDS_SOLAR_FLAMES,16360
owned_mm_reduce__ROBOT_DISHES,owned_mm_reduce,ROBOT_DISHES,reduce,default,4,GALAXY_SOUNDS_SOLAR_WINDS,11785
owned_mm_reduce__ROBOT_DISHES,owned_mm_reduce,ROBOT_DISHES,reduce,default,4,MICROCHIP_CIRCLE,11944
owned_mm_reduce__ROBOT_DISHES,owned_mm_reduce,ROBOT_DISHES,reduce,default,4,MICROCHIP_OVAL,18905
owned_mm_reduce__ROBOT_DISHES,owned_mm_reduce,ROBOT_DISHES,reduce,default,4,MICROCHIP_RECTANGLE,19251
owned_mm_reduce__ROBOT_DISHES,owned_mm_reduce,ROBOT_DISHES,reduce,default,4,MICROCHIP_SQUARE,-20836
owned_mm_reduce__ROBOT_DISHES,owned_mm_reduce,ROBOT_DISHES,reduce,default,4,MICROCHIP_TRIANGLE,14252
owned_mm_reduce__ROBOT_DISHES,owned_mm_reduce,ROBOT_DISHES,reduce,default,4,OXYGEN_SHAKE_CHOCOLATE,5335
owned_mm_reduce__ROBOT_DISHES,owned_mm_reduce,ROBOT_DISHES,reduce,default,4,OXYGEN_SHAKE_EVENING_BREATH,12376
owned_mm_reduce__ROBOT_DISHES,owned_mm_reduce,ROBOT_DISHES,reduce,default,4,OXYGEN_SHAKE_GARLIC,21417
owned_mm_reduce__ROBOT_DISHES,owned_mm_reduce,ROBOT_DISHES,reduce,default,4,OXYGEN_SHAKE_MINT,2760
owned_mm_reduce__ROBOT_DISHES,owned_mm_reduce,ROBOT_DISHES,reduce,default,4,OXYGEN_SHAKE_MORNING_BREATH,3406
owned_mm_reduce__ROBOT_DISHES,owned_mm_reduce,ROBOT_DISHES,reduce,default,4,PANEL_1X2,0
owned_mm_reduce__ROBOT_DISHES,owned_mm_reduce,ROBOT_DISHES,reduce,default,4,PANEL_1X4,9532
owned_mm_reduce__ROBOT_DISHES,owned_mm_reduce,ROBOT_DISHES,reduce,default,4,PANEL_2X2,1919
owned_mm_reduce__ROBOT_DISHES,owned_mm_reduce,ROBOT_DISHES,reduce,default,4,PANEL_2X4,12639
owned_mm_reduce__ROBOT_DISHES,owned_mm_reduce,ROBOT_DISHES,reduce,default,4,PANEL_4X4,0
owned_mm_reduce__ROBOT_DISHES,owned_mm_reduce,ROBOT_DISHES,reduce,default,4,PEBBLES_L,14417
owned_mm_reduce__ROBOT_DISHES,owned_mm_reduce,ROBOT_DISHES,reduce,default,4,PEBBLES_M,0
owned_mm_reduce__ROBOT_DISHES,owned_mm_reduce,ROBOT_DISHES,reduce,default,4,PEBBLES_S,23192
owned_mm_reduce__ROBOT_DISHES,owned_mm_reduce,ROBOT_DISHES,reduce,default,4,PEBBLES_XL,68520
owned_mm_reduce__ROBOT_DISHES,owned_mm_reduce,ROBOT_DISHES,reduce,default,4,PEBBLES_XS,12280
owned_mm_reduce__ROBOT_DISHES,owned_mm_reduce,ROBOT_DISHES,reduce,default,4,ROBOT_DISHES,50593
owned_mm_reduce__ROBOT_DISHES,owned_mm_reduce,ROBOT_DISHES,reduce,default,4,ROBOT_IRONING,-1000
owned_mm_reduce__ROBOT_DISHES,owned_mm_reduce,ROBOT_DISHES,reduce,default,4,ROBOT_LAUNDRY,5656
owned_mm_reduce__ROBOT_DISHES,owned_mm_reduce,ROBOT_DISHES,reduce,default,4,ROBOT_MOPPING,7796
owned_mm_reduce__ROBOT_DISHES,owned_mm_reduce,ROBOT_DISHES,reduce,default,4,ROBOT_VACUUMING,-3122
owned_mm_reduce__ROBOT_DISHES,owned_mm_reduce,ROBOT_DISHES,reduce,default,4,SLEEP_POD_COTTON,8535
owned_mm_reduce__ROBOT_DISHES,owned_mm_reduce,ROBOT_DISHES,reduce,default,4,SLEEP_POD_LAMB_WOOL,19185
