variant,day,product,pnl
simple_mr_skew_all50,3,GALAXY_SOUNDS_SOLAR_FLAMES,12640
simple_mr_skew_all50,3,GALAXY_SOUNDS_SOLAR_WINDS,7904
simple_mr_skew_all50,3,MICROCHIP_CIRCLE,-126
simple_mr_skew_all50,3,MICROCHIP_OVAL,-27766
simple_mr_skew_all50,3,MICROCHIP_RECTANGLE,-13770
simple_mr_skew_all50,3,MICROCHIP_SQUARE,-64486
simple_mr_skew_all50,3,MICROCHIP_TRIANGLE,-38561
simple_mr_skew_all50,3,OXYGEN_SHAKE_CHOCOLATE,-5315
simple_mr_skew_all50,3,OXYGEN_SHAKE_EVENING_BREATH,-5841
simple_mr_skew_all50,3,OXYGEN_SHAKE_GARLIC,-6434
simple_mr_skew_all50,3,OXYGEN_SHAKE_MINT,-8948
simple_mr_skew_all50,3,OXYGEN_SHAKE_MORNING_BREATH,-14229
simple_mr_skew_all50,3,PANEL_1X2,-11233
simple_mr_skew_all50,3,PANEL_1X4,-19580
simple_mr_skew_all50,3,PANEL_2X2,-16494
simple_mr_skew_all50,3,PANEL_2X4,-25935
simple_mr_skew_all50,3,PANEL_4X4,-8346
simple_mr_skew_all50,3,PEBBLES_L,-21085
simple_mr_skew_all50,3,PEBBLES_M,-3285
simple_mr_skew_all50,3,PEBBLES_S,-5342
simple_mr_skew_all50,3,PEBBLES_XL,-18735
simple_mr_skew_all50,3,PEBBLES_XS,-11266
simple_mr_skew_all50,3,ROBOT_DISHES,-16029
simple_mr_skew_all50,3,ROBOT_IRONING,-2810
simple_mr_skew_all50,3,ROBOT_LAUNDRY,-13120
simple_mr_skew_all50,3,ROBOT_MOPPING,-12935
simple_mr_skew_all50,3,ROBOT_VACUUMING,-12984
simple_mr_skew_all50,3,SLEEP_POD_COTTON,-14200
simple_mr_skew_all50,3,SLEEP_POD_LAMB_WOOL,-23802
simple_mr_skew_all50,3,SLEEP_POD_NYLON,-7108
simple_mr_skew_all50,3,SLEEP_POD_POLYESTER,-17621
simple_mr_skew_all50,3,SLEEP_POD_SUEDE,-12495
simple_mr_skew_all50,3,SNACKPACK_CHOCOLATE,-5554
simple_mr_skew_all50,3,SNACKPACK_PISTACHIO,2305
simple_mr_skew_all50,3,SNACKPACK_RASPBERRY,3281
simple_mr_skew_all50,3,SNACKPACK_STRAWBERRY,-3091
simple_mr_skew_all50,3,SNACKPACK_VANILLA,-3933
simple_mr_skew_all50,3,TRANSLATOR_ASTRO_BLACK,-6428
simple_mr_skew_all50,3,TRANSLATOR_ECLIPSE_CHARCOAL,-10750
simple_mr_skew_all50,3,TRANSLATOR_GRAPHITE_MIST,-4187
simple_mr_skew_all50,3,TRANSLATOR_SPACE_GRAY,-13555
simple_mr_skew_all50,3,TRANSLATOR_VOID_BLUE,-8663
simple_mr_skew_all50,3,UV_VISOR_AMBER,-7712
simple_mr_skew_all50,3,UV_VISOR_MAGENTA,11663
simple_mr_skew_all50,3,UV_VISOR_ORANGE,-12244
simple_mr_skew_all50,3,UV_VISOR_RED,-19245
simple_mr_skew_all50,3,UV_VISOR_YELLOW,-20794
simple_mr_skew_all50,4,GALAXY_SOUNDS_BLACK_HOLES,-13453
simple_mr_skew_all50,4,GALAXY_SOUNDS_DARK_MATTER,5551
simple_mr_skew_all50,4,GALAXY_SOUNDS_PLANETARY_RINGS,10302
simple_mr_skew_all50,4,GALAXY_SOUNDS_SOLAR_FLAMES,11324
simple_mr_skew_all50,4,GALAXY_SOUNDS_SOLAR_WINDS,5063
simple_mr_skew_all50,4,MICROCHIP_CIRCLE,-1555
simple_mr_skew_all50,4,MICROCHIP_OVAL,-8666
simple_mr_skew_all50,4,MICROCHIP_RECTANGLE,-6608
