candidate_id,lens,group,target,label,robust_param_count,best_total_pnl,best_min_day_pnl,best_trades,best_center_mode,best_threshold,best_horizon,best_exit_rule,best_slope_mode,best_vol_mode,thresholds_passing,horizons_passing,centers_passing,slope_modes_passing,vol_modes_passing
pair_ols|ROBOT|ROBOT_LAUNDRY|ROBOT_DISHES,pair_ols,ROBOT,ROBOT_LAUNDRY,ROBOT_LAUNDRY ~ ROBOT_DISHES,46,14240.0,3000.0,27,open100,1.5,500,fixed,any,any,"1.5,2.0","100,200,500","open100,raw,rolling500","any,reverting","any,high_vol,low_vol"
pca2_residual|MICROCHIP|MICROCHIP_RECTANGLE|k=2,pca2_residual,MICROCHIP,MICROCHIP_RECTANGLE,MICROCHIP_RECTANGLE minus PCA2 reconstruction,44,15100.0,3260.0,76,expanding,1.5,100,fixed,any,any,"1.5,2.0,2.5","100,200,500","expanding,open100,raw,rolling500","any,reverting","any,high_vol,low_vol"
pair_ols|PEBBLES|PEBBLES_M|PEBBLES_S,pair_ols,PEBBLES,PEBBLES_M,PEBBLES_M ~ PEBBLES_S,44,19350.0,3150.0,59,rolling500,1.5,200,fixed,any,any,"1.5,2.0","100,200,500","raw,rolling500","any,reverting","any,high_vol,low_vol"
pca1_residual|TRANSLATOR|TRANSLATOR_GRAPHITE_MIST|k=1,pca1_residual,TRANSLATOR,TRANSLATOR_GRAPHITE_MIST,TRANSLATOR_GRAPHITE_MIST minus PCA1 reconstruction,44,17710.0,2920.0,26,raw,1.5,500,fixed,reverting,high_vol,"1.5,2.0","100,200,500","raw,rolling500","any,reverting","any,high_vol,low_vol"
"basket_1v4|ROBOT|ROBOT_DISHES|ROBOT_VACUUMING,ROBOT_MOPPING,ROBOT_LAUNDRY,ROBOT_IRONING",basket_1v4,ROBOT,ROBOT_DISHES,ROBOT_DISHES ~ other 4,42,15560.0,4480.0,17,raw,2.5,500,fixed,any,high_vol,"2.0,2.5,3.0","100,200,500",raw,"any,reverting","any,high_vol,low_vol"
pca1_residual|ROBOT|ROBOT_IRONING|k=1,pca1_residual,ROBOT,ROBOT_IRONING,ROBOT_IRONING minus PCA1 reconstruction,42,16010.0,4190.0,50,raw,1.5,200,fixed,reverting,any,"1.5,2.0","100,200,500","raw,rolling500","any,reverting","any,low_vol"
pair_ols|SLEEP_POD|SLEEP_POD_SUEDE|SLEEP_POD_NYLON,pair_ols,SLEEP_POD,SLEEP_POD_SUEDE,SLEEP_POD_SUEDE ~ SLEEP_POD_NYLON,40,31590.0,9690.0,43,raw,2.0,500,fixed,reverting,any,"2.0,2.5","100,200,500",raw,"any,reverting","any,high_vol,low_vol"
"integer_combo|PEBBLES|PEBBLES_S|0,1,0,1,-1",integer_combo,PEBBLES,PEBBLES_S,1*PEBBLES_S +1*PEBBLES_L -1*PEBBLES_XL,40,27480.0,6430.0,46,raw,1.5,500,fixed,reverting,high_vol,"1.5,2.0,2.5","100,200,500",raw,"any,reverting","any,high_vol"
"integer_combo|UV_VISOR|UV_VISOR_AMBER|-1,1,-1,1,1",integer_combo,UV_VISOR,UV_VISOR_AMBER,-1*UV_VISOR_YELLOW +1*UV_VISOR_AMBER -1*UV_VISOR_ORANGE +1*UV_VISOR_RED +1*UV_VISOR_MAGENTA,40,18700.0,3490.0,50,raw,1.5,500,fixed,reverting,high_vol,"1.5,2.0,2.5,3.0","100,200,500","raw,rolling500","any,reverting","any,high_vol,low_vol"
pair_ols|ROBOT|ROBOT_VACUUMING|ROBOT_DISHES,pair_ols,ROBOT,ROBOT_VACUUMING,ROBOT_VACUUMING ~ ROBOT_DISHES,40,13870.0,3070.0,28,raw,1.5,500,fixed,reverting,low_vol,"1.5,2.0","100,200,500","raw,rolling500","any,reverting","any,high_vol,low_vol"
pca2_residual|SNACKPACK|SNACKPACK_CHOCOLATE|k=2,pca2_residual,SNACKPACK,SNACKPACK_CHOCOLATE,SNACKPACK_CHOCOLATE minus PCA2 reconstruction,40,11300.0,2590.0,40,rolling500,1.5,500,fixed,any,any,"1.5,2.0,2.5,3.0","200,500","expanding,raw,rolling500","any,reverting","any,high_vol,low_vol"
pair_ols|PEBBLES|PEBBLES_XL|PEBBLES_XS,pair_ols,PEBBLES,PEBBLES_XL,PEBBLES_XL ~ PEBBLES_XS,38,31100.0,6080.0,61,rolling500,1.5,200,fixed,any,any,"1.5,2.0","100,200,500","expanding,raw,rolling500","any,reverting","any,high_vol,low_vol"
pca2_residual|ROBOT|ROBOT_VACUUMING|k=2,pca2_residual,ROBOT,ROBOT_VACUUMING,ROBOT_VACUUMING minus PCA2 reconstruction,35,14920.0,3580.0,54,raw,2.5,200,fixed,reverting,any,"1.5,2.0,2.5,3.0","100,200,500","expanding,raw","any,reverting","any,high_vol,low_vol"
