verdict,group,target,threshold,horizon,exit_rule,depth_total_pnl,depth_min_day_pnl,depth_trades,depth_win_pct,signal_count,buy_signals,sell_signals,stable_threshold_count,stable_thresholds,simple_total_pnl_same_rule,simple_min_day_pnl_same_rule,simple_positive_days_same_rule,leaky_total_pnl_same_rule,top_short_trade_pct
tentative,SLEEP_POD,SLEEP_POD_POLYESTER,3.0,500,fixed_horizon,26924.999999999964,3810.0,23,0.6521739130434783,8402,7576,826,4,"1.5,2,2.5,3",16185.999999999967,0.0,1,2347.0000000000073,0.2391304347826087
tentative,SLEEP_POD,SLEEP_POD_POLYESTER,3.0,500,zero_cross,26924.999999999964,3810.0,23,0.6521739130434783,8402,7576,826,4,"1.5,2,2.5,3",16185.999999999967,0.0,1,2347.0000000000073,0.2391304347826087
tentative,GALAXY_SOUNDS,GALAXY_SOUNDS_SOLAR_FLAMES,2.0,200,fixed_horizon,26230.0,3160.0,52,0.5769230769230769,7870,4753,3117,3,"1.5,2,2.5",3541.0000000000036,-2588.9999999999964,1,5830.0,0.0
tentative,GALAXY_SOUNDS,GALAXY_SOUNDS_SOLAR_FLAMES,2.0,200,zero_cross,26230.0,3160.0,52,0.5769230769230769,7870,4753,3117,3,"1.5,2,2.5",3541.0000000000036,-2588.9999999999964,1,5830.0,0.0
tentative,ROBOT,ROBOT_IRONING,1.5,500,zero_cross,25569.000000000004,1640.0,46,0.5869565217391305,19382,13445,5937,4,"1.5,2,2.5,3",16228.999999999987,0.0,2,26597.000000000015,0.8586956521739131
tentative,ROBOT,ROBOT_IRONING,1.5,500,fixed_horizon,25069.99999999999,1640.0,46,0.5869565217391305,19382,13445,5937,4,"1.5,2,2.5,3",16228.999999999987,0.0,2,23890.00000000003,0.8586956521739131
tentative,SLEEP_POD,SLEEP_POD_POLYESTER,1.5,100,fixed_horizon,25033.99999999994,1549.9999999999636,194,0.5618556701030928,17801,9873,7928,3,"1.5,2,3",16423.999999999924,-659.0000000000146,2,12425.999999999967,0.29896907216494845
tentative,SLEEP_POD,SLEEP_POD_POLYESTER,1.5,100,zero_cross,25033.99999999994,1549.9999999999636,194,0.5618556701030928,17801,9873,7928,3,"1.5,2,3",16423.999999999924,-659.0000000000146,2,12425.999999999967,0.29896907216494845
tentative,GALAXY_SOUNDS,GALAXY_SOUNDS_SOLAR_FLAMES,2.5,500,zero_cross,22447.999999999993,1410.0,14,0.7142857142857143,4505,2492,2013,3,"1.5,2,2.5",850.0,0.0,1,4640.0,0.03571428571428571
tentative,TRANSLATOR,TRANSLATOR_VOID_BLUE,2.5,500,fixed_horizon,22231.999999999953,5242.999999999993,27,0.6296296296296297,10901,9248,1653,4,"1.5,2,2.5,3",4335.999999999967,0.0,1,17971.000000000004,0.2962962962962963
tentative,TRANSLATOR,TRANSLATOR_VOID_BLUE,2.5,500,zero_cross,22231.999999999953,5242.999999999993,27,0.6296296296296297,10901,9248,1653,4,"1.5,2,2.5,3",4335.999999999967,0.0,1,17661.000000000004,0.2962962962962963
