group,target,center_mode,threshold,horizon,days,total_pnl,min_day_pnl,positive_days,total_trades,win_pct,avg_pnl_per_trade,avg_hold
UV_VISOR,UV_VISOR_MAGENTA,open500,3.0,500,3,3230.0,-640.0,1,17,0.5882352941176471,190.0,458.6666666666667
ROBOT,ROBOT_IRONING,open500,3.0,50,3,2710.0,-5620.0,1,92,0.5108695652173914,29.456521739130434,49.46236559139785
OXYGEN_SHAKE,OXYGEN_SHAKE_MINT,open500,3.0,100,3,2530.0,-1710.0,1,71,0.5070422535211268,35.63380281690141,98.61111111111111
UV_VISOR,UV_VISOR_MAGENTA,open500,3.0,200,3,1690.0,-880.0,1,36,0.5555555555555556,46.94444444444444,191.27027027027026
ROBOT,ROBOT_IRONING,open500,2.0,50,3,1220.0,-9250.0,1,171,0.5146198830409356,7.1345029239766085,49.8421052631579
PANEL,PANEL_2X2,open500,2.5,50,3,1200.0,-3850.0,1,343,0.5043731778425656,3.498542274052478,49.7667638483965
UV_VISOR,UV_VISOR_MAGENTA,open500,2.0,200,3,1130.0,-4330.0,1,68,0.4852941176470588,16.61764705882353,193.55882352941177
SNACKPACK,SNACKPACK_STRAWBERRY,open500,3.0,500,3,850.0,0.0,1,8,0.5,106.25,381.8
OXYGEN_SHAKE,OXYGEN_SHAKE_MINT,open500,2.5,200,3,310.0,-1530.0,1,56,0.5178571428571429,5.535714285714286,196.49122807017545
SNACKPACK,SNACKPACK_STRAWBERRY,open500,2.5,500,3,240.0,-850.0,1,12,0.4166666666666667,20.0,458.9230769230769
SNACKPACK,SNACKPACK_STRAWBERRY,open500,2.5,200,3,-540.0,-2090.0,1,26,0.5,-20.76923076923077,187.33333333333334
OXYGEN_SHAKE,OXYGEN_SHAKE_MINT,open500,1.5,100,3,-2040.0,-3320.0,1,146,0.5068493150684932,-13.972602739726028,99.79452054794521
UV_VISOR,UV_VISOR_MAGENTA,open500,2.5,100,3,-2730.0,-5930.0,1,97,0.4639175257731959,-28.144329896907216,98.58163265306122
SLEEP_POD,SLEEP_POD_POLYESTER,open500,3.0,200,3,-3210.0,-7620.0,1,19,0.47368421052631576,-168.94736842105263,182.7
SLEEP_POD,SLEEP_POD_POLYESTER,open500,3.0,50,3,-3260.0,-8220.0,1,65,0.49230769230769234,-50.15384615384615,48.71212121212121
TRANSLATOR,TRANSLATOR_VOID_BLUE,open500,2.0,50,3,-3690.0,-6150.0,1,116,0.47413793103448276,-31.810344827586206,49.87068965517241
MICROCHIP,MICROCHIP_RECTANGLE,open500,1.5,50,3,-3700.0,-6250.0,1,205,0.4975609756097561,-18.048780487804876,49.9609756097561
SLEEP_POD,SLEEP_POD_POLYESTER,open500,3.0,100,3,-4720.0,-8300.0,1,35,0.37142857142857144,-134.85714285714286,95.66666666666667
TRANSLATOR,TRANSLATOR_VOID_BLUE,open500,3.0,100,3,-5140.0,-3980.0,1,22,0.45454545454545453,-233.63636363636363,99.18181818181819
PEBBLES,PEBBLES_XL,open500,1.5,100,3,-5400.0,-31090.0,1,209,0.4688995215311005,-25.83732057416268,99.56937799043062
