feature_col,importance,source_product,feature
OXYGEN_SHAKE_MORNING_BREATH__ret50,13.036768,OXYGEN_SHAKE_MORNING_BREATH,ret50
SLEEP_POD_POLYESTER__micro_minus_mid,13.025305,SLEEP_POD_POLYESTER,micro_minus_mid
ROBOT_LAUNDRY__spread,13.022188,ROBOT_LAUNDRY,spread
PANEL_2X4__imbalance3,13.004035,PANEL_2X4,imbalance3
UV_VISOR_YELLOW__group_residual_z,13.003999,UV_VISOR_YELLOW,group_residual_z
OXYGEN_SHAKE_CHOCOLATE__ret50,12.998348,OXYGEN_SHAKE_CHOCOLATE,ret50
SNACKPACK_CHOCOLATE__micro_minus_mid,12.979875,SNACKPACK_CHOCOLATE,micro_minus_mid
ROBOT_VACUUMING__ret50,12.97871,ROBOT_VACUUMING,ret50
MICROCHIP_RECTANGLE__ret50,12.968722,MICROCHIP_RECTANGLE,ret50
TRANSLATOR_VOID_BLUE__group_residual_z,12.953146,TRANSLATOR_VOID_BLUE,group_residual_z
TRANSLATOR_ASTRO_BLACK__ret50,12.947758,TRANSLATOR_ASTRO_BLACK,ret50
OXYGEN_SHAKE_GARLIC__imbalance1,12.934915,OXYGEN_SHAKE_GARLIC,imbalance1
TRANSLATOR_SPACE_GRAY__mid_centered,12.933759,TRANSLATOR_SPACE_GRAY,mid_centered
SNACKPACK_PISTACHIO__group_mid_rank,12.928635,SNACKPACK_PISTACHIO,group_mid_rank
SNACKPACK_VANILLA__spread,12.926431,SNACKPACK_VANILLA,spread
UV_VISOR_YELLOW__mid_centered,12.925661,UV_VISOR_YELLOW,mid_centered
TRANSLATOR_ECLIPSE_CHARCOAL__group_residual_z,12.91817,TRANSLATOR_ECLIPSE_CHARCOAL,group_residual_z
PANEL_1X2__spread,12.917413,PANEL_1X2,spread
ROBOT_IRONING__imbalance3,12.91723,ROBOT_IRONING,imbalance3
SLEEP_POD_LAMB_WOOL__spread,12.9146595,SLEEP_POD_LAMB_WOOL,spread
SLEEP_POD_SUEDE__spread,12.912582,SLEEP_POD_SUEDE,spread
PANEL_4X4__group_mid_rank,12.900829,PANEL_4X4,group_mid_rank
PANEL_1X2__micro_minus_mid,12.879027,PANEL_1X2,micro_minus_mid
PANEL_1X4__mid_centered,12.8729515,PANEL_1X4,mid_centered
GALAXY_SOUNDS_BLACK_HOLES__imbalance1,12.858757,GALAXY_SOUNDS_BLACK_HOLES,imbalance1
PANEL_2X2__mid_centered,12.846311,PANEL_2X2,mid_centered
GALAXY_SOUNDS_SOLAR_WINDS__ret50,12.845683,GALAXY_SOUNDS_SOLAR_WINDS,ret50
MICROCHIP_TRIANGLE__ret50,12.842701,MICROCHIP_TRIANGLE,ret50
GALAXY_SOUNDS_SOLAR_WINDS__group_residual_z,12.837834,GALAXY_SOUNDS_SOLAR_WINDS,group_residual_z
SNACKPACK_VANILLA__ret50,12.834413,SNACKPACK_VANILLA,ret50
PANEL_1X2__ret50,12.828538,PANEL_1X2,ret50
MICROCHIP_OVAL__ret50,12.824189,MICROCHIP_OVAL,ret50
OXYGEN_SHAKE_CHOCOLATE__imbalance3,12.812913,OXYGEN_SHAKE_CHOCOLATE,imbalance3
GALAXY_SOUNDS_PLANETARY_RINGS__ret50,12.808796,GALAXY_SOUNDS_PLANETARY_RINGS,ret50
SNACKPACK_VANILLA__mid_centered,12.8054905,SNACKPACK_VANILLA,mid_centered
SNACKPACK_STRAWBERRY__micro_minus_mid,12.800812,SNACKPACK_STRAWBERRY,micro_minus_mid
TRANSLATOR_ECLIPSE_CHARCOAL__mid_centered,12.794603,TRANSLATOR_ECLIPSE_CHARCOAL,mid_centered
OXYGEN_SHAKE_CHOCOLATE__spread,12.794559,OXYGEN_SHAKE_CHOCOLATE,spread
TRANSLATOR_SPACE_GRAY__spread,12.780378,TRANSLATOR_SPACE_GRAY,spread
PEBBLES_S__ret50,12.776847,PEBBLES_S,ret50
TRANSLATOR_VOID_BLUE__spread,12.7717085,TRANSLATOR_VOID_BLUE,spread
GALAXY_SOUNDS_SOLAR_FLAMES__imbalance3,12.760987,GALAXY_SOUNDS_SOLAR_FLAMES,imbalance3
PANEL_4X4__group_residual_z,12.757133,PANEL_4X4,group_residual_z
TRANSLATOR_VOID_BLUE__ret50,12.756813,TRANSLATOR_VOID_BLUE,ret50
SLEEP_POD_NYLON__spread,12.754219,SLEEP_POD_NYLON,spread
SNACKPACK_RASPBERRY__group_mid_rank,12.752382,SNACKPACK_RASPBERRY,group_mid_rank
SNACKPACK_STRAWBERRY__mid_centered,12.749794,SNACKPACK_STRAWBERRY,mid_centered
MICROCHIP_TRIANGLE__group_residual_z,12.747335,MICROCHIP_TRIANGLE,group_residual_z
UV_VISOR_ORANGE__ret50,12.7451,UV_VISOR_ORANGE,ret50
MICROCHIP_CIRCLE__spread,12.744364,MICROCHIP_CIRCLE,spread
OXYGEN_SHAKE_MORNING_BREATH__imbalance1,12.742424,OXYGEN_SHAKE_MORNING_BREATH,imbalance1
ROBOT_MOPPING__imbalance3,12.733339,ROBOT_MOPPING,imbalance3
OXYGEN_SHAKE_MINT__group_residual_z,12.718364,OXYGEN_SHAKE_MINT,group_residual_z
PANEL_1X4__ret50,12.716109,PANEL_1X4,ret50
SNACKPACK_VANILLA__imbalance3,12.712454,SNACKPACK_VANILLA,imbalance3
UV_VISOR_RED__group_mid_rank,12.703609,UV_VISOR_RED,group_mid_rank
SNACKPACK_PISTACHIO__imbalance3,12.701715,SNACKPACK_PISTACHIO,imbalance3
TRANSLATOR_SPACE_GRAY__imbalance3,12.694221,TRANSLATOR_SPACE_GRAY,imbalance3
PEBBLES_L__mid_centered,12.694169,PEBBLES_L,mid_centered
