split,feature_col,importance,source_product,feature
d23_to_d4,UV_VISOR_ORANGE__group_mid_rank,0.0007554544955286524,UV_VISOR_ORANGE,group_mid_rank
d23_to_d4,PEBBLES_M__spread,0.000564378718020087,PEBBLES_M,spread
d23_to_d4,SLEEP_POD_NYLON__group_mid_rank,0.00041404702103193576,SLEEP_POD_NYLON,group_mid_rank
d23_to_d4,MICROCHIP_CIRCLE__ret50,0.00040464098157690667,MICROCHIP_CIRCLE,ret50
d23_to_d4,MICROCHIP_SQUARE__ret50,0.0003592715152871188,MICROCHIP_SQUARE,ret50
d23_to_d4,SNACKPACK_VANILLA__ret50,0.0003264012717830645,SNACKPACK_VANILLA,ret50
d23_to_d4,SLEEP_POD_NYLON__ret50,0.00031664536636683894,SLEEP_POD_NYLON,ret50
d23_to_d4,PANEL_2X2__ret50,0.0003052006924572305,PANEL_2X2,ret50
d23_to_d4,SNACKPACK_PISTACHIO__ret50,0.0003002048388667903,SNACKPACK_PISTACHIO,ret50
d23_to_d4,PEBBLES_L__ret50,0.00029083299106143304,PEBBLES_L,ret50
d23_to_d4,PANEL_1X2__ret50,0.0002827349394981425,PANEL_1X2,ret50
d23_to_d4,OXYGEN_SHAKE_EVENING_BREATH__ret50,0.0002800335824606084,OXYGEN_SHAKE_EVENING_BREATH,ret50
d23_to_d4,MICROCHIP_OVAL__ret50,0.00026902399761410685,MICROCHIP_OVAL,ret50
d23_to_d4,SLEEP_POD_POLYESTER__ret50,0.00026794471053681715,SLEEP_POD_POLYESTER,ret50
d23_to_d4,ROBOT_LAUNDRY__ret50,0.0002656791135044418,ROBOT_LAUNDRY,ret50
d23_to_d4,ROBOT_DISHES__ret50,0.0002648003452572992,ROBOT_DISHES,ret50
d23_to_d4,SLEEP_POD_LAMB_WOOL__ret50,0.00025576713837858404,SLEEP_POD_LAMB_WOOL,ret50
d23_to_d4,PANEL_4X4__ret50,0.00024348426593376834,PANEL_4X4,ret50
d23_to_d4,OXYGEN_SHAKE_MINT__ret50,0.00024343123952805422,OXYGEN_SHAKE_MINT,ret50
d23_to_d4,TRANSLATOR_SPACE_GRAY__ret50,0.00024252027603433265,TRANSLATOR_SPACE_GRAY,ret50
d23_to_d4,GALAXY_SOUNDS_SOLAR_FLAMES__ret50,0.00023447764921134018,GALAXY_SOUNDS_SOLAR_FLAMES,ret50
d23_to_d4,PANEL_2X4__ret50,0.00022784617812044824,PANEL_2X4,ret50
d23_to_d4,OXYGEN_SHAKE_CHOCOLATE__ret50,0.00022383307763600545,OXYGEN_SHAKE_CHOCOLATE,ret50
d23_to_d4,OXYGEN_SHAKE_GARLIC__ret50,0.0002233084894664566,OXYGEN_SHAKE_GARLIC,ret50
d23_to_d4,SLEEP_POD_SUEDE__ret50,0.00021822760336271223,SLEEP_POD_SUEDE,ret50
d23_to_d4,ROBOT_IRONING__ret50,0.00021263488603020907,ROBOT_IRONING,ret50
d23_to_d4,TRANSLATOR_ECLIPSE_CHARCOAL__ret50,0.00021239274360132244,TRANSLATOR_ECLIPSE_CHARCOAL,ret50
d23_to_d4,PANEL_2X4__group_mid_rank,0.0002108771274754735,PANEL_2X4,group_mid_rank
d23_to_d4,UV_VISOR_RED__ret50,0.00020878508747174964,UV_VISOR_RED,ret50
