split,product,group,side,horizon,corr,top5_count,top5_edge,top5_win,top5_pred,all_edge,rank_score
d2_to_d3,PANEL_4X4,PANEL,long,1000,0.07682351729387597,41,133.97561645507812,0.8780487804878049,56.760498046875,46.879661560058594,117.63712664348323
d2_to_d3,TRANSLATOR_SPACE_GRAY,TRANSLATOR,short,1000,0.26585844825041544,41,154.68292236328125,0.7560975609756098,351.3296203613281,-82.36221313476562,116.95538032345655
d2_to_d3,SLEEP_POD_COTTON,SLEEP,short,500,0.053984543087934996,41,149.60975646972656,0.7804878048780488,24.091209411621094,-53.7111930847168,116.76859041539635
d2_to_d3,MICROCHIP_RECTANGLE,MICROCHIP,short,500,0.30414710698495545,41,154.7073211669922,0.7317073170731707,74.96974182128906,61.07581329345703,113.2004789026772
d2_to_d3,OXYGEN_SHAKE_CHOCOLATE,OXYGEN,short,1000,0.23543841056207457,41,158.73170471191406,0.7073170731707317,166.22158813476562,12.819494247436523,112.27364479623189
d2_to_d3,PEBBLES_XL,PEBBLES,short,200,0.13611386669912653,41,168.63414001464844,0.6585365853658537,-52.54558181762695,6.225029945373535,111.05175074135386
d2_to_d3,TRANSLATOR_GRAPHITE_MIST,TRANSLATOR,long,500,-0.02988568603388551,41,145.43902587890625,0.7560975609756098,-3.3671722412109375,67.08663940429688,109.9660927377096
d2_to_d3,TRANSLATOR_SPACE_GRAY,TRANSLATOR,long,500,0.21433717672007815,41,140.1219482421875,0.7804878048780488,-32.9155158996582,31.424789428710938,109.3634717987805
d2_to_d3,UV_VISOR_ORANGE,UV,short,500,0.029239531993522014,41,123.90243530273438,0.8780487804878049,129.041015625,-25.291215896606445,108.79238221703505
d2_to_d3,SLEEP_POD_SUEDE,SLEEP,short,500,0.42625860468545423,41,143.65853881835938,0.7560975609756098,0.43089815974235535,-56.09988021850586,108.61987081388148
