split,product,group,side,horizon,corr,top5_pred_mean_edge,top5_win,top5_count,all_mean_edge,rank_score,top5_mean_stable_proxy
d2_to_d3,ROBOT_MOPPING,ROBOT,long,100,-0.05436797002116803,43.806666666666665,0.7111111111111111,450,14.435888888888888,31.151407407407408,31.151407407407408
d2_to_d3,SLEEP_POD_SUEDE,SLEEP,long,1000,0.04922959453870036,53.91555555555556,0.54,450,90.65622222222223,29.114400000000003,29.114400000000003
d2_to_d3,GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY,long,500,0.08574609964024191,48.51777777777778,0.5866666666666667,450,3.386,28.463762962962964,28.463762962962964
d2_to_d3,SLEEP_POD_SUEDE,SLEEP,long,100,0.05986372927979469,39.791111111111114,0.7022222222222222,450,3.0864444444444445,27.942202469135804,27.942202469135804
d2_to_d3,GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY,short,100,0.11007042949357909,38.471111111111114,0.6866666666666666,450,-19.356333333333332,26.416829629629632,26.416829629629632
d2_to_d3,GALAXY_SOUNDS_SOLAR_WINDS,GALAXY,long,1000,-0.08551562904686294,43.77777777777778,0.5755555555555556,450,126.92544444444444,25.196543209876545,25.196543209876545
d23_to_d4,UV_VISOR_RED,UV,short,500,0.08795229645742499,46.80888888888889,0.5311111111111111,450,-54.69477777777778,24.860720987654318,24.860720987654318
d23_to_d4,TRANSLATOR_VOID_BLUE,TRANSLATOR,long,500,-0.10826107559508354,40.94222222222222,0.5888888888888889,450,19.138444444444445,24.11041975308642,24.11041975308642
d23_to_d4,PEBBLES_XS,PEBBLES,long,200,0.10345659073966994,35.36,0.6333333333333333,450,-20.360777777777777,22.394666666666666,22.394666666666666
d2_to_d3,OXYGEN_SHAKE_GARLIC,OXYGEN,long,200,0.06519399978170459,37.15555555555556,0.6,450,-16.259666666666668,22.293333333333333,22.293333333333333
d23_to_d4,TRANSLATOR_ASTRO_BLACK,TRANSLATOR,long,100,0.09798555728204118,32.95111111111111,0.6577777777777778,450,-12.168111111111111,21.674508641975308,21.674508641975308
d3_to_d4,PANEL_1X4,PANEL,short,200,0.12340167060677264,40.922222222222224,0.5066666666666667,450,-7.069333333333334,20.733925925925927,20.733925925925927
d3_to_d4,TRANSLATOR_GRAPHITE_MIST,TRANSLATOR,long,200,0.17124968425178644,33.528888888888886,0.6133333333333333,450,-36.29333333333334,20.56438518518518,20.56438518518518
d3_to_d4,TRANSLATOR_ASTRO_BLACK,TRANSLATOR,long,100,0.15258117068807137,31.33111111111111,0.6488888888888888,450,-12.168111111111111,20.330409876543207,20.330409876543207
d2_to_d3,MICROCHIP_SQUARE,MICROCHIP,long,50,-0.015791663057043298,31.955555555555556,0.6044444444444445,450,2.160111111111111,19.31535802469136,19.31535802469136
d2_to_d3,SNACKPACK_STRAWBERRY,SNACKPACK,long,500,-0.02431812421919679,30.88888888888889,0.62,450,8.692,19.15111111111111,19.15111111111111
d23_to_d4,SNACKPACK_PISTACHIO,SNACKPACK,short,500,0.13363194039288545,25.08222222222222,0.7266666666666667,450,-4.19,18.226414814814813,18.226414814814813
d3_to_d4,MICROCHIP_OVAL,MICROCHIP,short,50,0.04945559886707552,27.613333333333333,0.6577777777777778,450,3.5113333333333334,18.16343703703704,18.16343703703704
d23_to_d4,GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY,short,100,0.06363294146008076,26.206666666666667,0.6733333333333333,450,-0.9343333333333333,17.645822222222222,17.645822222222222
d2_to_d3,OXYGEN_SHAKE_MORNING_BREATH,OXYGEN,short,100,0.02318875627300563,29.366666666666667,0.5866666666666667,450,9.766444444444444,17.228444444444445,17.228444444444445
d23_to_d4,GALAXY_SOUNDS_SOLAR_WINDS,GALAXY,long,100,0.05648926638671976,27.96,0.5577777777777778,450,-15.9,15.595466666666669,15.595466666666669
d23_to_d4,PEBBLES_L,PEBBLES,short,100,0.09987085501783897,29.704444444444444,0.5244444444444445,450,4.347555555555555,15.578330864197532,15.578330864197532
d23_to_d4,MICROCHIP_OVAL,MICROCHIP,short,50,-0.022451323463147783,22.91777777777778,0.6777777777777778,450,3.5113333333333334,15.533160493827163,15.533160493827163
d2_to_d3,TRANSLATOR_ASTRO_BLACK,TRANSLATOR,short,200,0.008913565468870331,25.40222222222222,0.6,450,13.911111111111111,15.241333333333332,15.241333333333332
d2_to_d3,ROBOT_IRONING,ROBOT,short,100,-0.06027786476299608,22.415555555555557,0.6688888888888889,450,11.666777777777778,14.993516049382716,14.993516049382716
d2_to_d3,PEBBLES_S,PEBBLES,long,100,0.05009031640568594,22.433333333333334,0.6066666666666667,450,-14.866,13.609555555555556,13.609555555555556
d23_to_d4,MICROCHIP_SQUARE,MICROCHIP,long,500,-0.1371953805278786,19.015555555555554,0.7088888888888889,450,-105.03944444444444,13.479916049382716,13.479916049382716
d23_to_d4,PANEL_2X4,PANEL,long,200,-0.04483155291212404,23.526666666666667,0.5288888888888889,450,6.785111111111111,12.442992592592592,12.442992592592592
d3_to_d4,OXYGEN_SHAKE_MORNING_BREATH,OXYGEN,short,100,0.11833254572411443,19.46,0.6022222222222222,450,-10.575,11.719244444444445,11.719244444444445
d23_to_d4,MICROCHIP_OVAL,MICROCHIP,short,500,-0.17151789461664604,18.046666666666667,0.6466666666666666,450,95.37811111111111,11.670177777777777,11.670177777777777
d2_to_d3,PEBBLES_S,PEBBLES,short,200,0.04547896793029457,18.657777777777778,0.5733333333333334,450,-4.8805555555555555,10.697125925925926,10.697125925925926
d2_to_d3,UV_VISOR_RED,UV,short,50,0.15668970528962553,17.6,0.5888888888888889,450,-14.793333333333333,10.364444444444446,10.364444444444446
d2_to_d3,OXYGEN_SHAKE_CHOCOLATE,OXYGEN,long,100,0.07324986243007574,16.72,0.5977777777777777,450,-12.681666666666667,9.994844444444443,9.994844444444443
d3_to_d4,PEBBLES_S,PEBBLES,short,200,0.09474564730018034,17.606666666666666,0.5311111111111111,450,20.96377777777778,9.351096296296296,9.351096296296296
d23_to_d4,GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY,long,50,0.09864567915451578,16.357777777777777,0.5711111111111111,450,-20.057111111111112,9.342108641975308,9.342108641975308
d23_to_d4,SLEEP_POD_NYLON,SLEEP,short,100,0.0076065525510268265,14.162222222222223,0.62,450,-18.531222222222222,8.780577777777777,8.780577777777777
d2_to_d3,SNACKPACK_PISTACHIO,SNACKPACK,short,500,-0.06921715843771457,19.546666666666667,0.4444444444444444,450,-13.516111111111112,8.687407407407408,8.687407407407408
d3_to_d4,GALAXY_SOUNDS_SOLAR_WINDS,GALAXY,long,100,0.0133403260679265,17.76222222222222,0.4777777777777778,450,-15.9,8.486395061728395,8.486395061728395
d23_to_d4,PEBBLES_XS,PEBBLES,short,50,0.12091981693945256,15.142222222222221,0.5466666666666666,450,-4.356111111111111,8.277748148148147,8.277748148148147
d23_to_d4,PEBBLES_L,PEBBLES,long,50,0.051351277003810446,14.137777777777778,0.5422222222222223,450,-22.345555555555556,7.665817283950618,7.665817283950618
d3_to_d4,TRANSLATOR_GRAPHITE_MIST,TRANSLATOR,short,500,0.09734541768004953,14.173333333333334,0.5155555555555555,450,59.81977777777778,7.307140740740741,7.307140740740741
d3_to_d4,PEBBLES_XS,PEBBLES,short,50,0.0042756740182487785,13.32,0.5288888888888889,450,-4.356111111111111,7.0447999999999995,7.0447999999999995
d23_to_d4,GALAXY_SOUNDS_SOLAR_WINDS,GALAXY,short,200,0.12014213034752372,14.375555555555556,0.4688888888888889,450,-11.624222222222222,6.7405382716049385,6.7405382716049385
d3_to_d4,ROBOT_IRONING,ROBOT,long,50,0.05945842940048146,11.62888888888889,0.5755555555555556,450,-5.120444444444445,6.693071604938273,6.693071604938273
d3_to_d4,TRANSLATOR_GRAPHITE_MIST,TRANSLATOR,short,50,0.01392553271194141,11.833333333333334,0.5377777777777778,450,-2.2924444444444445,6.363703703703704,6.363703703703704
d2_to_d3,UV_VISOR_MAGENTA,UV,short,200,0.047162352009529514,11.408888888888889,0.5466666666666666,450,-18.391,6.236859259259258,6.236859259259258
d3_to_d4,GALAXY_SOUNDS_BLACK_HOLES,GALAXY,short,50,0.015072829908709649,10.244444444444444,0.5466666666666666,450,-25.040444444444443,5.600296296296295,5.600296296296295
d3_to_d4,PEBBLES_L,PEBBLES,short,100,0.11985555728599796,10.337777777777777,0.5244444444444445,450,4.347555555555555,5.421590123456791,5.421590123456791
d3_to_d4,SLEEP_POD_COTTON,SLEEP,short,50,0.09305195608108066,8.991111111111111,0.5244444444444445,450,-7.564,4.715338271604939,4.715338271604939
d23_to_d4,TRANSLATOR_GRAPHITE_MIST,TRANSLATOR,long,200,0.0806343268902323,9.377777777777778,0.5022222222222222,450,-36.29333333333334,4.709728395061728,4.709728395061728
d3_to_d4,OXYGEN_SHAKE_MORNING_BREATH,OXYGEN,long,50,0.0869744924369539,7.5,0.5155555555555555,450,-12.793888888888889,3.8666666666666667,3.8666666666666667
