split,product,group,side,horizon,corr,top5_pred_mean_edge,top5_win,top5_count,all_mean_edge,rank_score
gru_d23_to_d4,SNACKPACK_STRAWBERRY,SNACKPACK,short,1000,0.024673164473296823,55.31625747680664,0.6570155902004454,449,-29.557844161987305,36.343643553803915
gru_d23_to_d4,PANEL_1X4,PANEL,short,200,-0.025731648299100483,40.16481018066406,0.6325167037861915,449,-6.789889812469482,25.4049133436717
gru_d23_to_d4,TRANSLATOR_VOID_BLUE,TRANSLATOR,long,500,-0.024886332070166904,48.87082290649414,0.5144766146993318,449,19.263221740722656,25.142895526503665
gru_d23_to_d4,GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY,short,100,-0.06978221656797329,37.06013488769531,0.6347438752783965,449,-0.994321346282959,23.523693636955823
gru_d23_to_d4,PANEL_1X4,PANEL,long,1000,0.1903351646239771,36.13585662841797,0.576837416481069,449,27.936309814453125,20.844514179866934
gru_d23_to_d4,PANEL_2X4,PANEL,long,200,0.15761406324116786,32.03786087036133,0.5991091314031181,449,7.108674049377441,19.19417499805612
gru_d23_to_d4,TRANSLATOR_ASTRO_BLACK,TRANSLATOR,short,200,0.08875269543296041,20.5367488861084,0.5812917594654788,449,-0.20999889075756073,11.937842893706664
gru_d23_to_d4,OXYGEN_SHAKE_MORNING_BREATH,OXYGEN,short,1000,-0.11721723762552114,22.071269989013672,0.5077951002227171,449,3.039193868637085,11.207682756113845
gru_d23_to_d4,TRANSLATOR_VOID_BLUE,TRANSLATOR,long,50,0.07070683964792769,14.766146659851074,0.6035634743875279,449,-6.465204238891602,8.912306781335504
gru_d23_to_d4,SLEEP_POD_NYLON,SLEEP,long,50,0.05837313422516389,12.512248992919922,0.5946547884187082,449,-4.271796226501465,7.440468777526991
gru_d23_to_d4,SNACKPACK_PISTACHIO,SNACKPACK,short,500,0.24820393464169868,12.069042205810547,0.5634743875278396,449,-4.109675884246826,6.800596164966745
gru_d23_to_d4,PEBBLES_XS,PEBBLES,short,50,0.005131158423683884,1.445434331893921,0.512249443207127,449,-4.552833557128906,0.7404229317051265
gru_d23_to_d4,PANEL_2X4,PANEL,short,50,0.07227202701134702,0.8708243370056152,0.49888641425389757,449,-15.225810050964355,0.43444243093375906
gru_d23_to_d4,MICROCHIP_OVAL,MICROCHIP,long,10,0.0033656497761472295,-2.0890867710113525,0.48552338530066813,449,-7.833648681640625,-1.0143004812482737
gru_d23_to_d4,ROBOT_MOPPING,ROBOT,short,10,0.013476725538018696,-2.5322940349578857,0.48329621380846327,449,-7.541253566741943,-1.2238481193449025
gru_d23_to_d4,PANEL_1X4,PANEL,short,10,-0.023817396314311647,-2.5924277305603027,0.4766146993318486,449,-7.755038261413574,-1.2355891633405451
gru_d23_to_d4,SNACKPACK_PISTACHIO,SNACKPACK,long,10,0.04960405572731844,-14.236080169677734,0.155902004454343,449,-16.0595703125,-2.219433434025482
gru_d23_to_d4,ROBOT_IRONING,ROBOT,short,100,-0.017769645601305433,-5.311803817749023,0.44766146993318484,449,-7.0344061851501465,-2.377889905050231
gru_d23_to_d4,SLEEP_POD_SUEDE,SLEEP,long,1000,0.021838696722847273,-4.518930912017822,0.534521158129176,449,-46.55249786376953,-2.4154641845975
gru_d23_to_d4,PEBBLES_L,PEBBLES,short,100,-0.0468292972039281,-4.256124496459961,0.6124721603563474,449,4.541921615600586,-2.6067577650924036
gru_d23_to_d4,SNACKPACK_PISTACHIO,SNACKPACK,long,200,0.17184259218295075,-6.792872905731201,0.39420935412026725,449,-20.89945411682129,-2.67781404078936
gru_d23_to_d4,TRANSLATOR_ASTRO_BLACK,TRANSLATOR,long,100,-0.04104151536109868,-6.160356521606445,0.46770601336302897,449,-12.435809135437012,-2.881235789615487
gru_d23_to_d4,PEBBLES_L,PEBBLES,short,1000,-0.16108970610838336,-6.347438812255859,0.46993318485523383,449,166.9247283935547,-2.9828721367171185
