group,target,total_pnl,trades,d2_pnl,d3_pnl,d4_pnl,min_day_pnl,resid_sd
ROBOT,ROBOT_DISHES,2246.0,8,-31.0,1011.0,1576.0,-31.0,318.07910397215227
PANEL,PANEL_2X2,2142.0,6,341.0,1468.0,333.0,333.0,369.54249653714464
TRANSLATOR,TRANSLATOR_SPACE_GRAY,2030.0,5,0.0,778.0,552.0,0.0,417.8235485380334
SLEEP_POD,SLEEP_POD_SUEDE,2022.0,9,1080.0,218.0,455.0,218.0,447.0196527620332
OXYGEN_SHAKE,OXYGEN_SHAKE_CHOCOLATE,1916.0,5,1146.0,63.0,707.0,63.0,404.89297030418953
PANEL,PANEL_4X4,1909.0,6,805.0,368.0,736.0,368.0,329.50791989897755
GALAXY_SOUNDS,GALAXY_SOUNDS_PLANETARY_RINGS,1637.0,4,1116.0,-88.0,609.0,-88.0,684.981430602332
TRANSLATOR,TRANSLATOR_GRAPHITE_MIST,1574.0,2,0.0,0.0,978.0,0.0,487.4353550534745
SLEEP_POD,SLEEP_POD_NYLON,1561.0,6,282.0,911.0,0.0,0.0,398.90371946445833
OXYGEN_SHAKE,OXYGEN_SHAKE_GARLIC,1553.0,6,1269.0,504.0,-220.0,-220.0,526.8443160873768
UV_VISOR,UV_VISOR_ORANGE,1503.0,5,422.0,814.0,267.0,267.0,378.40202273986233
ROBOT,ROBOT_MOPPING,1379.0,9,912.0,444.0,23.0,23.0,350.3129691318886
OXYGEN_SHAKE,OXYGEN_SHAKE_MORNING_BREATH,1379.0,3,0.0,1002.0,313.0,0.0,462.44898707312217
SNACKPACK,SNACKPACK_PISTACHIO,1373.0,8,858.0,416.0,99.0,99.0,89.90501424904657
SNACKPACK,SNACKPACK_RASPBERRY,1356.0,6,602.0,557.0,197.0,197.0,85.6576768136062
TRANSLATOR,TRANSLATOR_ASTRO_BLACK,1243.0,6,410.0,1128.0,170.0,170.0,347.25909811095494
SNACKPACK,SNACKPACK_VANILLA,1217.0,10,425.0,306.0,486.0,306.0,47.426507139104416
SNACKPACK,SNACKPACK_STRAWBERRY,1178.0,6,403.0,195.0,580.0,195.0,163.08409144921757
UV_VISOR,UV_VISOR_AMBER,720.0,11,611.0,257.0,-191.0,-191.0,320.9438163118693
PANEL,PANEL_1X4,524.0,4,592.0,908.0,304.0,304.0,567.8607955092638
SNACKPACK,SNACKPACK_CHOCOLATE,-135.0,9,182.0,20.0,-337.0,-337.0,45.61176771221157
PEBBLES,PEBBLES_S,-3882.0,804,-1486.0,-1368.0,-1028.0,-1486.0,2.798296213303394
PEBBLES,PEBBLES_XS,-4268.0,804,-1798.0,-1322.0,-1148.0,-1798.0,2.798401513794248
PEBBLES,PEBBLES_M,-5506.0,804,-1279.0,-2265.0,-1962.0,-2265.0,2.7983540409139693
PEBBLES,PEBBLES_L,-5548.0,804,-2392.0,-1291.0,-1865.0,-2392.0,2.798408582766364
PEBBLES,PEBBLES_XL,-5704.0,804,-1453.0,-1886.0,-2365.0,-2365.0,2.798401945171829
