product,kind,window,threshold,horizon,day,pnl,trades,wins,win_pct,avg_round_trip_pnl,entry_z_abs
PEBBLES_XS,product_rolling,1000,2.5,500,4,8460.0,11,7,0.6363636363636364,15429.09090909091,
MICROCHIP_TRIANGLE,group_vol,1000,2.0,500,2,15390.0,15,5,0.3333333333333333,-34783.86666666667,
MICROCHIP_TRIANGLE,group_vol,1000,2.0,500,3,4379.0,14,8,0.5714285714285714,13435.07142857143,
MICROCHIP_TRIANGLE,group_vol,1000,2.0,500,4,20045.0,18,12,0.6666666666666666,27918.277777777777,
PEBBLES_XL,group_vol,500,3.0,500,2,6860.0,9,5,0.5555555555555556,13735.555555555555,
PEBBLES_XL,group_vol,500,3.0,500,3,21570.0,10,5,0.5,-4087.0,
PEBBLES_XL,group_vol,500,3.0,500,4,5600.0,11,4,0.36363636363636365,-39175.454545454544,
MICROCHIP_TRIANGLE,group_regression_open500,500,2.5,500,2,1742.0,16,6,0.375,-27115.625,2.579398234612574
MICROCHIP_TRIANGLE,group_regression_open500,500,2.5,500,3,-10522.0,15,8,0.5333333333333333,6011.2,
MICROCHIP_TRIANGLE,group_regression_open500,500,2.5,500,4,7980.0,15,9,0.6,16510.933333333334,2.512814340613322
PEBBLES_XL,product_rolling,500,2.5,100,2,4260.0,21,11,0.5238095238095238,2552.3809523809523,
PEBBLES_XL,product_rolling,500,2.5,100,3,15014.0,23,13,0.5652173913043478,13673.478260869566,
PEBBLES_XL,product_rolling,500,2.5,100,4,10345.0,25,9,0.36,-42699.2,
PEBBLES_XL,group_equal,500,2.5,100,2,4260.0,21,11,0.5238095238095238,2552.3809523809523,
PEBBLES_XL,group_equal,500,2.5,100,3,15014.0,23,13,0.5652173913043478,13673.478260869566,
PEBBLES_XL,group_equal,500,2.5,100,4,10345.0,25,9,0.36,-42699.2,
PEBBLES_XL,group_vol,500,2.5,100,2,5360.0,21,11,0.5238095238095238,2610.9523809523807,
PEBBLES_XL,group_vol,500,2.5,100,3,15014.0,23,13,0.5652173913043478,13673.478260869566,
PEBBLES_XL,group_vol,500,2.5,100,4,10345.0,25,9,0.36,-42699.2,
PEBBLES_L,group_vol,1000,3.0,500,2,-2820.0,3,1,0.3333333333333333,-38663.333333333336,
PEBBLES_L,group_vol,1000,3.0,500,3,-3100.0,6,4,0.6666666666666666,30773.333333333332,
