product,group,kind,window,threshold,horizon,total_pnl,min_day_pnl,day2,day3,day4,trades,positive_days,avg_win_pct
MICROCHIP_TRIANGLE,MICROCHIP,group_equal,1000,2.0,500,30207.0,4853.0,12095.0,4853.0,13259.0,45,3,0.5056022408963585
MICROCHIP_TRIANGLE,MICROCHIP,group_vol,1000,2.0,500,39814.0,4379.0,15390.0,4379.0,20045.0,47,3,0.5238095238095237
MICROCHIP_TRIANGLE,MICROCHIP,group_vol,1000,2.5,500,22251.0,4372.0,4372.0,5568.0,12311.0,26,3,0.41005291005291006
PEBBLES_XL,PEBBLES,group_equal,500,2.5,100,29619.0,4260.0,4260.0,15014.0,10345.0,69,3,0.4830089717046239
PEBBLES_XL,PEBBLES,product_rolling,500,2.5,100,29619.0,4260.0,4260.0,15014.0,10345.0,69,3,0.4830089717046239
MICROCHIP_TRIANGLE,MICROCHIP,group_equal,1000,2.5,500,24584.0,4065.0,4065.0,16414.0,4105.0,28,3,0.43783068783068785
ROBOT_LAUNDRY,ROBOT,product_rolling,1000,2.5,500,14644.0,3695.0,6149.0,4800.0,3695.0,32,3,0.5388888888888889
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,group_regression_open500,1000,2.0,500,18068.0,3580.0,9450.0,5038.0,3580.0,52,3,0.46716976264189886
PEBBLES_M,PEBBLES,product_rolling,1000,3.0,100,11758.0,3500.0,3500.0,3768.0,4490.0,22,3,0.6277777777777778
PANEL_2X2,PANEL,group_equal,1000,3.0,200,14275.0,3419.0,4583.0,6273.0,3419.0,17,3,0.25396825396825395
PANEL_2X2,PANEL,group_equal,1000,3.0,500,16419.0,2906.0,7550.0,5963.0,2906.0,17,3,0.25396825396825395
SLEEP_POD_NYLON,SLEEP_POD,product_rolling,1000,1.5,500,13562.0,2869.0,5308.0,2869.0,5385.0,73,3,0.4527777777777778
PANEL_2X2,PANEL,group_vol,1000,3.0,200,13298.0,2543.0,4777.0,5978.0,2543.0,16,3,0.27619047619047615
SNACKPACK_RASPBERRY,SNACKPACK,group_vol,500,3.0,500,11406.0,2490.0,2490.0,2640.0,6276.0,28,3,0.5086580086580087
ROBOT_LAUNDRY,ROBOT,group_regression_open500,500,2.0,500,16409.0,2411.0,7016.0,2411.0,6982.0,78,3,0.5248778998778999
SLEEP_POD_NYLON,SLEEP_POD,product_rolling,1000,3.0,500,9896.0,2137.0,2793.0,2137.0,4966.0,17,3,0.5833333333333334
PANEL_2X2,PANEL,group_vol,1000,3.0,500,15560.0,2046.0,7744.0,5770.0,2046.0,16,3,0.27619047619047615
MICROCHIP_TRIANGLE,MICROCHIP,product_rolling,1000,2.0,500,30213.0,1994.0,9634.0,1994.0,18585.0,49,3,0.5212352147336667
OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE,group_regression_open500,500,3.0,200,9091.0,1990.0,2430.0,1990.0,4671.0,29,3,0.5509259259259259
PANEL_2X2,PANEL,group_equal,1000,3.0,100,10357.0,1875.0,1875.0,5276.0,3206.0,17,3,0.25396825396825395
SLEEP_POD_POLYESTER,SLEEP_POD,group_regression_open500,500,3.0,200,7654.0,1870.0,3282.0,1870.0,2502.0,28,3,0.4021164021164021
PANEL_2X2,PANEL,group_vol,1000,3.0,100,8558.0,1825.0,1875.0,4858.0,1825.0,16,3,0.27619047619047615
UV_VISOR_MAGENTA,UV_VISOR,product_rolling,500,3.0,200,8500.0,1740.0,1740.0,3472.0,3288.0,27,3,0.4212121212121212
