group,target,threshold,horizon,exit_rule,days,total_pnl,min_day_pnl,positive_days,total_trades,win_pct,avg_pnl_per_trade,avg_hold,max_hold
TRANSLATOR,TRANSLATOR_VOID_BLUE,2.5,200,fixed_horizon,3,13240.0,2740.0,3,60,0.5833333333333334,220.66666666666666,200.0,200
TRANSLATOR,TRANSLATOR_VOID_BLUE,2.5,200,zero_cross,3,13240.0,2740.0,3,60,0.5833333333333334,220.66666666666666,200.0,200
ROBOT,ROBOT_IRONING,3.0,100,fixed_horizon,3,13210.0,1600.0,3,108,0.5462962962962963,122.31481481481481,99.24074074074075,100
ROBOT,ROBOT_IRONING,3.0,100,zero_cross,3,13210.0,1600.0,3,108,0.5462962962962963,122.31481481481481,99.24074074074075,100
OXYGEN_SHAKE,OXYGEN_SHAKE_MINT,2.5,500,fixed_horizon,3,13180.0,3100.0,3,30,0.6,439.3333333333333,500.0,500
OXYGEN_SHAKE,OXYGEN_SHAKE_MINT,2.5,500,zero_cross,3,13180.0,3100.0,3,30,0.6,439.3333333333333,500.0,500
TRANSLATOR,TRANSLATOR_VOID_BLUE,3.0,500,fixed_horizon,3,13000.0,2100.0,3,22,0.5909090909090909,590.9090909090909,500.0,500
TRANSLATOR,TRANSLATOR_VOID_BLUE,3.0,500,zero_cross,3,13000.0,2100.0,3,22,0.5909090909090909,590.9090909090909,500.0,500
SLEEP_POD,SLEEP_POD_SUEDE,2.5,200,fixed_horizon,3,12960.0,1510.0,3,74,0.581081081081081,175.13513513513513,200.0,200
SLEEP_POD,SLEEP_POD_SUEDE,2.5,200,zero_cross,3,12960.0,1510.0,3,74,0.581081081081081,175.13513513513513,200.0,200
SLEEP_POD,SLEEP_POD_POLYESTER,3.0,100,fixed_horizon,3,12000.0,1890.0,3,91,0.5494505494505495,131.86813186813185,100.0,100
SLEEP_POD,SLEEP_POD_POLYESTER,3.0,100,zero_cross,3,12000.0,1890.0,3,91,0.5494505494505495,131.86813186813185,100.0,100
UV_VISOR,UV_VISOR_MAGENTA,2.5,500,fixed_horizon,3,11600.0,710.0,3,21,0.7142857142857143,552.3809523809524,488.3809523809524,500
UV_VISOR,UV_VISOR_MAGENTA,2.5,500,zero_cross,3,11600.0,710.0,3,21,0.7142857142857143,552.3809523809524,488.3809523809524,500
PANEL,PANEL_2X2,2.5,100,fixed_horizon,3,11110.0,1070.0,3,191,0.5340314136125655,58.167539267015705,99.65968586387434,100
PANEL,PANEL_2X2,2.5,100,zero_cross,3,11110.0,1070.0,3,191,0.5340314136125655,58.167539267015705,99.65968586387434,100
SLEEP_POD,SLEEP_POD_POLYESTER,2.5,50,fixed_horizon,3,10620.0,500.0,3,227,0.5330396475770925,46.784140969163,50.0,50
SLEEP_POD,SLEEP_POD_POLYESTER,2.5,50,zero_cross,3,10620.0,500.0,3,227,0.5330396475770925,46.784140969163,50.0,50
OXYGEN_SHAKE,OXYGEN_SHAKE_MINT,1.5,500,fixed_horizon,3,10540.0,2040.0,3,52,0.5,202.69230769230768,485.78846153846155,500
OXYGEN_SHAKE,OXYGEN_SHAKE_MINT,1.5,500,zero_cross,3,10540.0,2040.0,3,52,0.5,202.69230769230768,485.78846153846155,500
TRANSLATOR,TRANSLATOR_VOID_BLUE,3.0,200,fixed_horizon,3,9890.0,1080.0,3,51,0.5490196078431373,193.92156862745097,200.0,200
TRANSLATOR,TRANSLATOR_VOID_BLUE,3.0,200,zero_cross,3,9890.0,1080.0,3,51,0.5490196078431373,193.92156862745097,200.0,200
GALAXY_SOUNDS,GALAXY_SOUNDS_SOLAR_WINDS,1.5,500,zero_cross,3,9870.0,210.0,3,40,0.5,246.75,476.925,500
GALAXY_SOUNDS,GALAXY_SOUNDS_SOLAR_WINDS,1.5,500,fixed_horizon,3,9850.0,210.0,3,40,0.5,246.25,481.325,500
TRANSLATOR,TRANSLATOR_VOID_BLUE,2.5,100,fixed_horizon,3,9460.0,1660.0,3,117,0.5641025641025641,80.85470085470085,100.0,100
TRANSLATOR,TRANSLATOR_VOID_BLUE,2.5,100,zero_cross,3,9460.0,1660.0,3,117,0.5641025641025641,80.85470085470085,100.0,100
ROBOT,ROBOT_DISHES,2.5,500,fixed_horizon,3,9200.0,530.0,3,19,0.5789473684210527,484.2105263157895,499.7894736842105,500
ROBOT,ROBOT_DISHES,2.5,500,zero_cross,3,9200.0,530.0,3,19,0.5789473684210527,484.2105263157895,499.7894736842105,500
MICROCHIP,MICROCHIP_RECTANGLE,1.5,100,fixed_horizon,3,9190.0,130.0,3,105,0.5333333333333333,87.52380952380952,99.4095238095238,100
MICROCHIP,MICROCHIP_RECTANGLE,1.5,100,zero_cross,3,9190.0,130.0,3,105,0.5333333333333333,87.52380952380952,99.4095238095238,100
MICROCHIP,MICROCHIP_RECTANGLE,2.0,200,fixed_horizon,3,8590.0,30.0,3,35,0.6285714285714286,245.42857142857142,200.0,200
MICROCHIP,MICROCHIP_RECTANGLE,2.0,200,zero_cross,3,8590.0,30.0,3,35,0.6285714285714286,245.42857142857142,200.0,200
