variant,group,target,test_day,threshold,horizon,exit_rule,sigma,top_pnl,top_trades,top_wins,top_avg_hold,top_max_hold,top_signal_count,top_buy_signals,top_sell_signals,top_entry_top_short,top_exit_top_short,top_unfilled,depth_pnl,depth_trades,depth_wins,depth_avg_hold,depth_max_hold,depth_signal_count,depth_buy_signals,depth_sell_signals,depth_entry_top_short,depth_exit_top_short,depth_unfilled
ols_all_days_leaky,GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,2,1.5,50,fixed_horizon,297.03489407555173,1710.0,31,20,50.0,50,1081,613,468,0,0,0,1710.0,31,20,50.0,50,1081,613,468,0,0,0
ols_all_days_leaky,GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,2,1.5,50,zero_cross,297.03489407555173,1710.0,31,20,50.0,50,1081,613,468,0,0,0,1710.0,31,20,50.0,50,1081,613,468,0,0,0
ols_all_days_leaky,GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,2,1.5,100,fixed_horizon,297.03489407555173,2760.0,17,11,100.0,100,1081,613,468,1,1,0,2697.0000000000073,17,11,100.0,100,1081,613,468,1,1,0
ols_all_days_leaky,GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,2,1.5,100,zero_cross,297.03489407555173,2760.0,17,11,100.0,100,1081,613,468,1,1,0,2697.0000000000073,17,11,100.0,100,1081,613,468,1,1,0
ols_all_days_leaky,GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,2,1.5,200,fixed_horizon,297.03489407555173,4790.0,11,8,200.0,200,1081,613,468,0,1,0,4747.999999999993,11,8,200.0,200,1081,613,468,0,1,0
ols_all_days_leaky,GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,2,1.5,200,zero_cross,297.03489407555173,4790.0,11,8,200.0,200,1081,613,468,0,1,0,4747.999999999993,11,8,200.0,200,1081,613,468,0,1,0
ols_all_days_leaky,GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,2,1.5,500,fixed_horizon,297.03489407555173,3470.0,6,4,500.0,500,1081,613,468,0,1,0,3422.0000000000073,6,4,500.0,500,1081,613,468,0,1,0
ols_all_days_leaky,GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,2,1.5,500,zero_cross,297.03489407555173,3470.0,6,4,500.0,500,1081,613,468,0,1,0,3422.0000000000073,6,4,500.0,500,1081,613,468,0,1,0
ols_all_days_leaky,GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,2,2.0,50,fixed_horizon,297.03489407555173,1670.0,4,3,50.0,50,105,0,105,0,0,0,1670.0,4,3,50.0,50,105,0,105,0,0,0
ols_all_days_leaky,GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,2,2.0,50,zero_cross,297.03489407555173,1670.0,4,3,50.0,50,105,0,105,0,0,0,1670.0,4,3,50.0,50,105,0,105,0,0,0
ols_all_days_leaky,GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,2,2.0,100,fixed_horizon,297.03489407555173,1310.0,2,2,100.0,100,105,0,105,0,0,0,1310.0,2,2,100.0,100,105,0,105,0,0,0
ols_all_days_leaky,GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,2,2.0,100,zero_cross,297.03489407555173,1310.0,2,2,100.0,100,105,0,105,0,0,0,1310.0,2,2,100.0,100,105,0,105,0,0,0
ols_all_days_leaky,GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,2,2.0,200,fixed_horizon,297.03489407555173,1100.0,1,1,200.0,200,105,0,105,0,0,0,1100.0,1,1,200.0,200,105,0,105,0,0,0
ols_all_days_leaky,GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,2,2.0,200,zero_cross,297.03489407555173,1100.0,1,1,200.0,200,105,0,105,0,0,0,1100.0,1,1,200.0,200,105,0,105,0,0,0
ols_all_days_leaky,GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,2,2.0,500,fixed_horizon,297.03489407555173,1320.0,1,1,500.0,500,105,0,105,0,0,0,1320.0,1,1,500.0,500,105,0,105,0,0,0
ols_all_days_leaky,GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,2,2.0,500,zero_cross,297.03489407555173,1320.0,1,1,500.0,500,105,0,105,0,0,0,1320.0,1,1,500.0,500,105,0,105,0,0,0
ols_all_days_leaky,GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,2,2.5,50,fixed_horizon,297.03489407555173,0.0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0
ols_all_days_leaky,GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,2,2.5,50,zero_cross,297.03489407555173,0.0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0
ols_all_days_leaky,GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,2,2.5,100,fixed_horizon,297.03489407555173,0.0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0
ols_all_days_leaky,GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,2,2.5,100,zero_cross,297.03489407555173,0.0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0
ols_all_days_leaky,GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,2,2.5,200,fixed_horizon,297.03489407555173,0.0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0
ols_all_days_leaky,GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,2,2.5,200,zero_cross,297.03489407555173,0.0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0
ols_all_days_leaky,GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,2,2.5,500,fixed_horizon,297.03489407555173,0.0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0
ols_all_days_leaky,GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,2,2.5,500,zero_cross,297.03489407555173,0.0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0
ols_all_days_leaky,GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,2,3.0,50,fixed_horizon,297.03489407555173,0.0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0
ols_all_days_leaky,GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,2,3.0,50,zero_cross,297.03489407555173,0.0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0
ols_all_days_leaky,GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,2,3.0,100,fixed_horizon,297.03489407555173,0.0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0
ols_all_days_leaky,GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,2,3.0,100,zero_cross,297.03489407555173,0.0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0
ols_all_days_leaky,GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,2,3.0,200,fixed_horizon,297.03489407555173,0.0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0
ols_all_days_leaky,GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,2,3.0,200,zero_cross,297.03489407555173,0.0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0
ols_all_days_leaky,GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,2,3.0,500,fixed_horizon,297.03489407555173,0.0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0
ols_all_days_leaky,GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,2,3.0,500,zero_cross,297.03489407555173,0.0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0
ols_loo,GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,3,1.5,50,fixed_horizon,273.7737998589688,-7500.0,63,26,49.79365079365079,50,3010,200,2810,2,0,0,-7592.000000000007,63,26,49.79365079365079,50,3010,200,2810,2,0,0
ols_loo,GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,3,1.5,50,zero_cross,273.7737998589688,-7500.0,63,26,49.79365079365079,50,3010,200,2810,2,0,0,-7592.000000000007,63,26,49.79365079365079,50,3010,200,2810,2,0,0
ols_loo,GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,3,1.5,100,fixed_horizon,273.7737998589688,-4250.0,34,13,97.3529411764706,100,3010,200,2810,0,0,0,-4250.0,34,13,97.3529411764706,100,3010,200,2810,0,0,0
ols_loo,GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,3,1.5,100,zero_cross,273.7737998589688,-4250.0,34,13,97.3529411764706,100,3010,200,2810,0,0,0,-4250.0,34,13,97.3529411764706,100,3010,200,2810,0,0,0
ols_loo,GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,3,1.5,200,fixed_horizon,273.7737998589688,-2600.0,18,10,190.11111111111111,200,3010,200,2810,0,0,0,-2600.0,18,10,190.11111111111111,200,3010,200,2810,0,0,0
ols_loo,GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,3,1.5,200,zero_cross,273.7737998589688,-2600.0,18,10,190.11111111111111,200,3010,200,2810,0,0,0,-2600.0,18,10,190.11111111111111,200,3010,200,2810,0,0,0
ols_loo,GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,3,1.5,500,fixed_horizon,273.7737998589688,-60.0,7,4,490.0,500,3010,200,2810,0,0,0,-60.0,7,4,490.0,500,3010,200,2810,0,0,0
ols_loo,GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,3,1.5,500,zero_cross,273.7737998589688,-60.0,7,4,490.0,500,3010,200,2810,0,0,0,-60.0,7,4,490.0,500,3010,200,2810,0,0,0
