group,product,threshold_abs_z,signal_n,signal_pct,buy_signal_share,passive_fill_next5_pct,mid_edge_h1,active_edge_h1,passive_edge_h1,active_edge_h1_positive_days,active_edge_h1_min_day,mid_edge_h5,active_edge_h5,passive_edge_h5,active_edge_h5_positive_days,active_edge_h5_min_day,mid_edge_h20,active_edge_h20,passive_edge_h20,active_edge_h20_positive_days,active_edge_h20_min_day
PEBBLES,PEBBLES_S,3.0,853,0.028433333333333335,0.5240328253223916,0.05509964830011723,3.2555685814771396,0.34056271981242675,6.170574443141852,3,0.11631944444444445,3.2549824150058617,0.3399765533411489,6.1699882766705745,2,-0.3020833333333333,2.305978898007034,-0.6090269636576788,5.2209847596717465,2,-5.962365591397849
PEBBLES,PEBBLES_XS,1.0,853,0.028433333333333335,0.5240328253223916,0.04220398593200469,2.6318874560375147,0.1776084407971864,5.086166471277843,1,-0.7709790209790209,0.929073856975381,-1.5252051582649473,3.3833528722157094,1,-3.5746527777777777,3.5146541617819462,1.0603751465416178,5.968933177022274,2,-0.3968531468531469
PEBBLES,PEBBLES_XS,1.5,853,0.028433333333333335,0.5240328253223916,0.04220398593200469,2.6318874560375147,0.1776084407971864,5.086166471277843,1,-0.7709790209790209,0.929073856975381,-1.5252051582649473,3.3833528722157094,1,-3.5746527777777777,3.5146541617819462,1.0603751465416178,5.968933177022274,2,-0.3968531468531469
PEBBLES,PEBBLES_XS,2.0,853,0.028433333333333335,0.5240328253223916,0.04220398593200469,2.6318874560375147,0.1776084407971864,5.086166471277843,1,-0.7709790209790209,0.929073856975381,-1.5252051582649473,3.3833528722157094,1,-3.5746527777777777,3.5146541617819462,1.0603751465416178,5.968933177022274,2,-0.3968531468531469
PEBBLES,PEBBLES_XS,2.5,853,0.028433333333333335,0.5240328253223916,0.04220398593200469,2.6318874560375147,0.1776084407971864,5.086166471277843,1,-0.7709790209790209,0.929073856975381,-1.5252051582649473,3.3833528722157094,1,-3.5746527777777777,3.5146541617819462,1.0603751465416178,5.968933177022274,2,-0.3968531468531469
PEBBLES,PEBBLES_XS,3.0,853,0.028433333333333335,0.5240328253223916,0.04220398593200469,2.6318874560375147,0.1776084407971864,5.086166471277843,1,-0.7709790209790209,0.929073856975381,-1.5252051582649473,3.3833528722157094,1,-3.5746527777777777,3.5146541617819462,1.0603751465416178,5.968933177022274,2,-0.3968531468531469
MICROCHIP,MICROCHIP_TRIANGLE,3.0,17,0.0005666666666666667,0.0,0.0,4.882352941176471,0.11764705882352941,9.647058823529411,1,0.11764705882352941,25.38235294117647,20.61764705882353,30.147058823529413,1,20.61764705882353,83.94117647058823,79.17647058823529,88.70588235294117,1,79.17647058823529
PEBBLES,PEBBLES_XS,0.5,957,0.0319,0.5245559038662487,0.038662486938349006,2.6018808777429467,-0.15673981191222572,5.360501567398119,1,-0.9848484848484849,1.06478578892372,-1.6938349007314524,3.8234064785788924,0,-3.488888888888889,3.944096133751306,1.1854754440961337,6.702716823406479,2,-0.6378787878787879
MICROCHIP,MICROCHIP_CIRCLE,2.5,24,0.0008,0.5833333333333334,0.0,3.875,-0.4166666666666667,8.166666666666666,0,-0.4166666666666667,12.25,7.958333333333333,16.541666666666668,1,7.958333333333333,27.854166666666668,23.5625,32.145833333333336,1,23.5625
PEBBLES,PEBBLES_L,1.0,853,0.028433333333333335,0.5240328253223916,0.044548651817116064,2.8604923798358732,-0.42907385697538103,6.150058616647128,1,-0.9090909090909091,2.657092614302462,-0.6324736225087925,5.946658851113717,1,-3.0244755244755246,2.1213364595545134,-1.168229777256741,5.410902696365768,1,-6.061188811188811
PEBBLES,PEBBLES_L,1.5,853,0.028433333333333335,0.5240328253223916,0.044548651817116064,2.8604923798358732,-0.42907385697538103,6.150058616647128,1,-0.9090909090909091,2.657092614302462,-0.6324736225087925,5.946658851113717,1,-3.0244755244755246,2.1213364595545134,-1.168229777256741,5.410902696365768,1,-6.061188811188811
