group,target,test_day,threshold,horizon,exit_rule,pnl,trades,wins,avg_hold,max_hold,sigma_train
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,4,2.5,200,zero_cross,-7620.0,44,21,198.77272727272728,200,211.90074201922573
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,4,2.5,500,fixed_horizon,-3160.0,18,7,487.3333333333333,500,211.90074201922573
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,4,2.5,500,zero_cross,-3160.0,18,7,487.3333333333333,500,211.90074201922573
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,4,3.0,20,fixed_horizon,-54500.0,410,151,20.0,20,211.90074201922573
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,4,3.0,20,zero_cross,-54500.0,410,151,20.0,20,211.90074201922573
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,4,3.0,50,fixed_horizon,-20060.0,170,72,49.71764705882353,50,211.90074201922573
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,4,3.0,50,zero_cross,-20060.0,170,72,49.71764705882353,50,211.90074201922573
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,4,3.0,100,fixed_horizon,-12570.0,87,38,99.66666666666667,100,211.90074201922573
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,4,3.0,100,zero_cross,-12570.0,87,38,99.66666666666667,100,211.90074201922573
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,4,3.0,200,fixed_horizon,-5850.0,44,19,197.88636363636363,200,211.90074201922573
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,4,3.0,200,zero_cross,-5850.0,44,19,197.88636363636363,200,211.90074201922573
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,4,3.0,500,fixed_horizon,-2690.0,18,8,485.6111111111111,500,211.90074201922573
GALAXY_SOUNDS,GALAXY_SOUNDS_DARK_MATTER,4,3.0,500,zero_cross,-2690.0,18,8,485.6111111111111,500,211.90074201922573
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,2,1.5,20,fixed_horizon,-42260.0,429,177,20.0,20,485.0487247178928
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,2,1.5,20,zero_cross,-42260.0,429,177,20.0,20,485.0487247178928
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,2,1.5,50,fixed_horizon,-6720.0,177,92,50.0,50,485.0487247178928
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,2,1.5,50,zero_cross,-6720.0,177,92,50.0,50,485.0487247178928
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,2,1.5,100,fixed_horizon,3360.0,90,40,100.0,100,485.0487247178928
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,2,1.5,100,zero_cross,3360.0,90,40,100.0,100,485.0487247178928
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,2,1.5,200,fixed_horizon,10440.0,46,26,200.0,200,485.0487247178928
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,2,1.5,200,zero_cross,10440.0,46,26,200.0,200,485.0487247178928
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,2,1.5,500,fixed_horizon,15080.0,19,13,500.0,500,485.0487247178928
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,2,1.5,500,zero_cross,15080.0,19,13,500.0,500,485.0487247178928
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,2,2.0,20,fixed_horizon,-36020.0,399,171,20.0,20,485.0487247178928
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,2,2.0,20,zero_cross,-36020.0,399,171,20.0,20,485.0487247178928
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,2,2.0,50,fixed_horizon,-3730.0,164,86,50.0,50,485.0487247178928
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,2,2.0,50,zero_cross,-3730.0,164,86,50.0,50,485.0487247178928
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,2,2.0,100,fixed_horizon,3570.0,84,39,100.0,100,485.0487247178928
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,2,2.0,100,zero_cross,3570.0,84,39,100.0,100,485.0487247178928
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,2,2.0,200,fixed_horizon,11040.0,42,23,200.0,200,485.0487247178928
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,2,2.0,200,zero_cross,11040.0,42,23,200.0,200,485.0487247178928
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,2,2.0,500,fixed_horizon,12700.0,18,12,500.0,500,485.0487247178928
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,2,2.0,500,zero_cross,12700.0,18,12,500.0,500,485.0487247178928
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,2,2.5,20,fixed_horizon,-32440.0,372,157,20.0,20,485.0487247178928
GALAXY_SOUNDS,GALAXY_SOUNDS_BLACK_HOLES,2,2.5,20,zero_cross,-32440.0,372,157,20.0,20,485.0487247178928
