case,group,method,target,anchor,window,entry_z,total,day2,day3,day4,worst_day,positive_days,trades
ols__ROBOT_LAUNDRY__ROBOT_VACUUMING__w2000__z3.0,ROBOT,ols,ROBOT_LAUNDRY,ROBOT_VACUUMING,2000,3.0,6610.0,520.0,1810.0,4280.0,520.0,3,10
ols__SLEEP_POD_NYLON__SLEEP_POD_LAMB_WOOL__w2000__z3.0,SLEEP_POD,ols,SLEEP_POD_NYLON,SLEEP_POD_LAMB_WOOL,2000,3.0,6855.0,840.0,5515.0,500.0,500.0,3,12
ols__SNACKPACK_RASPBERRY__SNACKPACK_CHOCOLATE__w2000__z3.0,SNACKPACK,ols,SNACKPACK_RASPBERRY,SNACKPACK_CHOCOLATE,2000,3.0,8555.0,3355.0,470.0,4730.0,470.0,3,11
ols__SNACKPACK_STRAWBERRY__SNACKPACK_PISTACHIO__w2000__z3.0,SNACKPACK,ols,SNACKPACK_STRAWBERRY,SNACKPACK_PISTACHIO,2000,3.0,2950.0,470.0,1480.0,1000.0,470.0,3,6
tls__MICROCHIP_OVAL__MICROCHIP_TRIANGLE__w1000__z2.5,MICROCHIP,tls,MICROCHIP_OVAL,MICROCHIP_TRIANGLE,1000,2.5,3810.0,450.0,2830.0,530.0,450.0,3,45
ols__SNACKPACK_VANILLA__SNACKPACK_RASPBERRY__w2000__z3.0,SNACKPACK,ols,SNACKPACK_VANILLA,SNACKPACK_RASPBERRY,2000,3.0,1960.0,440.0,590.0,930.0,440.0,3,8
ols__MICROCHIP_OVAL__MICROCHIP_RECTANGLE__w2000__z2.5,MICROCHIP,ols,MICROCHIP_OVAL,MICROCHIP_RECTANGLE,2000,2.5,11800.0,430.0,7330.0,4040.0,430.0,3,18
ols__GALAXY_SOUNDS_DARK_MATTER__GALAXY_SOUNDS_PLANETARY_RINGS__w2000__z3.0,GALAXY_SOUNDS,ols,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_PLANETARY_RINGS,2000,3.0,16190.0,8910.0,6870.0,410.0,410.0,3,9
ols__MICROCHIP_RECTANGLE__MICROCHIP_OVAL__w2000__z3.0,MICROCHIP,ols,MICROCHIP_RECTANGLE,MICROCHIP_OVAL,2000,3.0,8320.0,390.0,2800.0,5130.0,390.0,3,9
tls__MICROCHIP_CIRCLE__MICROCHIP_OVAL__w1000__z3.0,MICROCHIP,tls,MICROCHIP_CIRCLE,MICROCHIP_OVAL,1000,3.0,3030.0,920.0,1720.0,390.0,390.0,3,36
ols__MICROCHIP_CIRCLE__MICROCHIP_TRIANGLE__w2000__z3.0,MICROCHIP,ols,MICROCHIP_CIRCLE,MICROCHIP_TRIANGLE,2000,3.0,3400.0,360.0,2220.0,820.0,360.0,3,8
tls__ROBOT_IRONING__ROBOT_LAUNDRY__w1000__z3.0,ROBOT,tls,ROBOT_IRONING,ROBOT_LAUNDRY,1000,3.0,2970.0,1340.0,1300.0,330.0,330.0,3,22
tls__GALAXY_SOUNDS_DARK_MATTER__GALAXY_SOUNDS_SOLAR_FLAMES__w2000__z3.0,GALAXY_SOUNDS,tls,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_SOLAR_FLAMES,2000,3.0,4065.0,2460.0,320.0,1285.0,320.0,3,12
tls__SLEEP_POD_NYLON__SLEEP_POD_LAMB_WOOL__w2000__z3.0,SLEEP_POD,tls,SLEEP_POD_NYLON,SLEEP_POD_LAMB_WOOL,2000,3.0,6890.0,300.0,2875.0,3715.0,300.0,3,16
tls__ROBOT_IRONING__ROBOT_MOPPING__w1000__z3.0,ROBOT,tls,ROBOT_IRONING,ROBOT_MOPPING,1000,3.0,3600.0,1830.0,1490.0,280.0,280.0,3,26
ols__SLEEP_POD_NYLON__SLEEP_POD_LAMB_WOOL__w2000__z2.5,SLEEP_POD,ols,SLEEP_POD_NYLON,SLEEP_POD_LAMB_WOOL,2000,2.5,7395.0,3530.0,265.0,3600.0,265.0,3,22
tls__SNACKPACK_CHOCOLATE__SNACKPACK_RASPBERRY__w1000__z3.0,SNACKPACK,tls,SNACKPACK_CHOCOLATE,SNACKPACK_RASPBERRY,1000,3.0,2470.0,1650.0,260.0,560.0,260.0,3,36
ols__ROBOT_LAUNDRY__ROBOT_DISHES__w1000__z3.0,ROBOT,ols,ROBOT_LAUNDRY,ROBOT_DISHES,1000,3.0,9640.0,1190.0,8200.0,250.0,250.0,3,21
tls__ROBOT_DISHES__ROBOT_LAUNDRY__w1000__z3.0,ROBOT,tls,ROBOT_DISHES,ROBOT_LAUNDRY,1000,3.0,4800.0,250.0,1310.0,3240.0,250.0,3,30
tls__MICROCHIP_RECTANGLE__MICROCHIP_TRIANGLE__w2000__z3.0,MICROCHIP,tls,MICROCHIP_RECTANGLE,MICROCHIP_TRIANGLE,2000,3.0,7130.0,230.0,750.0,6150.0,230.0,3,12
ols__SLEEP_POD_POLYESTER__SLEEP_POD_SUEDE__w2000__z2.5,SLEEP_POD,ols,SLEEP_POD_POLYESTER,SLEEP_POD_SUEDE,2000,2.5,12140.0,215.0,3310.0,8615.0,215.0,3,24
tls__MICROCHIP_OVAL__MICROCHIP_TRIANGLE__w2000__z3.0,MICROCHIP,tls,MICROCHIP_OVAL,MICROCHIP_TRIANGLE,2000,3.0,4180.0,190.0,3490.0,500.0,190.0,3,12
ols__SLEEP_POD_LAMB_WOOL__SLEEP_POD_NYLON__w1000__z2.5,SLEEP_POD,ols,SLEEP_POD_LAMB_WOOL,SLEEP_POD_NYLON,1000,2.5,3830.0,190.0,1000.0,2640.0,190.0,3,33
ols__GALAXY_SOUNDS_DARK_MATTER__GALAXY_SOUNDS_PLANETARY_RINGS__w1000__z3.0,GALAXY_SOUNDS,ols,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_PLANETARY_RINGS,1000,3.0,5010.0,3600.0,1230.0,180.0,180.0,3,18
ols__GALAXY_SOUNDS_SOLAR_WINDS__GALAXY_SOUNDS_PLANETARY_RINGS__w2000__z2.5,GALAXY_SOUNDS,ols,GALAXY_SOUNDS_SOLAR_WINDS,GALAXY_SOUNDS_PLANETARY_RINGS,2000,2.5,4690.0,180.0,2910.0,1600.0,180.0,3,21
ols__SLEEP_POD_NYLON__SLEEP_POD_LAMB_WOOL__w500__z2.5,SLEEP_POD,ols,SLEEP_POD_NYLON,SLEEP_POD_LAMB_WOOL,500,2.5,8255.0,160.0,2055.0,6040.0,160.0,3,76
tls__GALAXY_SOUNDS_DARK_MATTER__GALAXY_SOUNDS_BLACK_HOLES__w1000__z3.0,GALAXY_SOUNDS,tls,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_BLACK_HOLES,1000,3.0,5195.0,3860.0,160.0,1175.0,160.0,3,21
ols__MICROCHIP_RECTANGLE__MICROCHIP_CIRCLE__w1000__z3.0,MICROCHIP,ols,MICROCHIP_RECTANGLE,MICROCHIP_CIRCLE,1000,3.0,17720.0,9700.0,140.0,7880.0,140.0,3,27
ols__SLEEP_POD_NYLON__SLEEP_POD_COTTON__w1000__z3.0,SLEEP_POD,ols,SLEEP_POD_NYLON,SLEEP_POD_COTTON,1000,3.0,2465.0,1880.0,125.0,460.0,125.0,3,19
ols__SNACKPACK_CHOCOLATE__SNACKPACK_RASPBERRY__w1000__z3.0,SNACKPACK,ols,SNACKPACK_CHOCOLATE,SNACKPACK_RASPBERRY,1000,3.0,7030.0,2700.0,4220.0,110.0,110.0,3,22
