product,group,path_type,threshold,folds_run,folds_positive,total_pnl,worst_day_pnl,best_day_pnl,mean_day_pnl,total_trades
SLEEP_POD_LAMB_WOOL,SLEEP_POD,group_scaled,20,3,3,34333.0,8812.0,13474.0,11444.33,3024
SLEEP_POD_LAMB_WOOL,SLEEP_POD,group_scaled,40,3,3,35991.0,8786.0,13851.0,11997.0,1758
SLEEP_POD_POLYESTER,SLEEP_POD,bucket_mean,40,3,3,35129.0,8778.0,17454.0,11709.67,940
PEBBLES_L,PEBBLES,group_scaled,120,3,3,63796.0,8691.0,41109.0,21265.33,678
SLEEP_POD_POLYESTER,SLEEP_POD,bucket_mean,80,3,3,36256.0,8649.0,17454.0,12085.33,560
SLEEP_POD_POLYESTER,SLEEP_POD,bucket_mean,120,3,3,35112.0,8492.0,17454.0,11704.0,394
SLEEP_POD_LAMB_WOOL,SLEEP_POD,group_scaled,160,3,3,35410.0,8447.0,14168.0,11803.33,520
UV_VISOR_ORANGE,UV_VISOR,group_scaled,160,3,3,31265.0,8377.0,11582.0,10421.67,394
UV_VISOR_ORANGE,UV_VISOR,group_scaled,80,3,3,26661.0,8335.0,9971.0,8887.0,554
UV_VISOR_ORANGE,UV_VISOR,group_scaled,120,3,3,29010.0,8273.0,12006.0,9670.0,456
PEBBLES_L,PEBBLES,bucket_delta_b0,20,3,3,34370.0,8085.0,18078.0,11456.67,3670
PEBBLES_L,PEBBLES,group_scaled,80,3,3,68773.0,8042.0,44467.0,22924.33,1015
PEBBLES_L,PEBBLES,group_scaled,40,3,3,66866.0,8020.0,41951.0,22288.67,1674
ROBOT_DISHES,ROBOT,bucket_delta_b0,20,3,3,42472.0,7946.0,22592.0,14157.33,2042
PEBBLES_L,PEBBLES,group_scaled,20,3,3,62344.0,7934.0,40063.0,20781.33,2402
TRANSLATOR_GRAPHITE_MIST,TRANSLATOR,group_scaled,120,3,3,31360.0,7896.0,13906.0,10453.33,518
SNACKPACK_RASPBERRY,SNACKPACK,bucket_mean,200,3,3,30006.0,7712.0,12963.0,10002.0,426
UV_VISOR_RED,UV_VISOR,bucket_delta_b0,20,3,3,27802.0,7640.0,12187.0,9267.33,2506
SLEEP_POD_LAMB_WOOL,SLEEP_POD,group_scaled,200,3,3,35082.0,7574.0,15319.0,11694.0,416
SLEEP_POD_NYLON,SLEEP_POD,group_offset,40,3,3,25021.0,7524.0,9110.0,8340.33,274
SLEEP_POD_LAMB_WOOL,SLEEP_POD,group_scaled,120,3,3,35660.0,7482.0,16803.0,11886.67,656
SNACKPACK_RASPBERRY,SNACKPACK,bucket_mean,160,3,3,26446.0,7404.0,10567.0,8815.33,472
PEBBLES_S,PEBBLES,bucket_delta_b0,80,3,3,30904.0,7368.0,14817.0,10301.33,964
SLEEP_POD_NYLON,SLEEP_POD,group_offset,20,3,3,24640.0,7245.0,9008.0,8213.33,440
UV_VISOR_MAGENTA,UV_VISOR,group_offset,300,3,3,28650.0,7239.0,12805.0,9550.0,172
GALAXY_SOUNDS_SOLAR_FLAMES,GALAXY_SOUNDS,bucket_mean,200,3,3,36562.0,7218.0,15070.0,12187.33,330
UV_VISOR_MAGENTA,UV_VISOR,group_scaled,300,3,3,31944.5,7191.0,12805.0,10648.17,187
PEBBLES_S,PEBBLES,bucket_delta_b0,200,3,3,25250.0,7184.0,9047.0,8416.67,424
MICROCHIP_SQUARE,MICROCHIP,group_scaled,80,3,3,44504.0,7112.0,24506.0,14834.67,356
MICROCHIP_SQUARE,MICROCHIP,group_scaled,120,3,3,44174.0,7093.0,24506.0,14724.67,284
PEBBLES_XS,PEBBLES,bucket_delta_b0,80,3,3,37502.0,7063.0,22481.0,12500.67,1546
SLEEP_POD_LAMB_WOOL,SLEEP_POD,group_scaled,80,3,3,33478.0,7028.0,15482.0,11159.33,834
PEBBLES_S,PEBBLES,bucket_delta_b0,160,3,3,26243.0,6981.0,11512.0,8747.67,524
TRANSLATOR_ECLIPSE_CHARCOAL,TRANSLATOR,group_scaled,160,3,3,30384.0,6865.0,12578.0,10128.0,518
SNACKPACK_RASPBERRY,SNACKPACK,group_offset,200,3,3,28746.0,6800.0,13312.0,9582.0,390
SNACKPACK_RASPBERRY,SNACKPACK,group_offset,300,3,3,20807.0,6759.0,7045.0,6935.67,170
SLEEP_POD_POLYESTER,SLEEP_POD,bucket_mean,160,3,3,31531.5,6678.0,17454.0,10510.5,275
SNACKPACK_RASPBERRY,SNACKPACK,bucket_mean,300,3,3,27478.0,6659.0,13713.0,9159.33,220
SNACKPACK_RASPBERRY,SNACKPACK,bucket_delta_b0,200,3,3,27686.0,6512.0,11350.0,9228.67,400
OXYGEN_SHAKE_MINT,OXYGEN_SHAKE,group_offset,300,3,3,20614.6,6456.6,7647.0,6871.53,110
OXYGEN_SHAKE_MINT,OXYGEN_SHAKE,group_offset,120,3,3,23156.0,6409.0,9782.0,7718.67,216
PEBBLES_L,PEBBLES,bucket_delta_b0,120,3,3,33839.0,6407.0,20069.0,11279.67,1014
SNACKPACK_RASPBERRY,SNACKPACK,bucket_delta_b0,120,3,3,20760.0,6368.0,7229.0,6920.0,506
SNACKPACK_RASPBERRY,SNACKPACK,bucket_delta_b0,160,3,3,23703.0,6317.0,9249.0,7901.0,444
SLEEP_POD_LAMB_WOOL,SLEEP_POD,group_scaled,300,3,3,23014.0,6188.0,9453.0,7671.33,208
OXYGEN_SHAKE_MINT,OXYGEN_SHAKE,group_scaled,160,3,3,21824.0,6147.0,7947.0,7274.67,210
OXYGEN_SHAKE_MINT,OXYGEN_SHAKE,group_offset,80,3,3,24946.0,6122.0,12212.0,8315.33,358
OXYGEN_SHAKE_MINT,OXYGEN_SHAKE,group_offset,40,3,3,23605.0,6089.0,11332.0,7868.33,628
MICROCHIP_SQUARE,MICROCHIP,group_scaled,40,3,3,42763.0,6068.0,24506.0,14254.33,450
PEBBLES_S,PEBBLES,bucket_delta_b0,120,3,3,27201.0,6031.0,13105.0,9067.0,682
UV_VISOR_ORANGE,UV_VISOR,group_offset,200,3,3,27432.0,6025.0,14643.0,9144.0,304
SNACKPACK_RASPBERRY,SNACKPACK,bucket_delta_b0,80,3,3,18879.0,5976.0,6745.0,6293.0,640
SNACKPACK_STRAWBERRY,SNACKPACK,bucket_delta_b0,200,3,3,20220.0,5958.0,8118.0,6740.0,336
UV_VISOR_ORANGE,UV_VISOR,group_offset,300,3,3,26984.0,5932.0,13187.0,8994.67,204
TRANSLATOR_GRAPHITE_MIST,TRANSLATOR,group_scaled,80,3,3,29302.5,5921.0,14469.5,9767.5,671
SLEEP_POD_POLYESTER,SLEEP_POD,bucket_mean,20,3,3,31385.0,5920.0,17454.0,10461.67,1396
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,bucket_mean,200,3,3,29083.0,5873.0,15044.0,9694.33,386
OXYGEN_SHAKE_MINT,OXYGEN_SHAKE,group_offset,20,3,3,21186.0,5793.0,9192.0,7062.0,948
OXYGEN_SHAKE_MINT,OXYGEN_SHAKE,group_scaled,300,3,3,18264.0,5737.0,6368.0,6088.0,94
UV_VISOR_ORANGE,UV_VISOR,group_scaled,40,3,3,22996.0,5728.0,9376.0,7665.33,908
TRANSLATOR_ECLIPSE_CHARCOAL,TRANSLATOR,group_scaled,300,3,3,24274.0,5720.0,10066.0,8091.33,230
PEBBLES_S,PEBBLES,bucket_delta_b0,300,3,3,38906.0,5702.0,26145.0,12968.67,436
UV_VISOR_MAGENTA,UV_VISOR,bucket_mean,120,3,3,25402.0,5695.0,12805.0,8467.33,270
SNACKPACK_RASPBERRY,SNACKPACK,bucket_mean,120,3,3,19638.0,5680.0,8010.0,6546.0,466
OXYGEN_SHAKE_MINT,OXYGEN_SHAKE,group_offset,160,3,3,25079.0,5596.0,12134.0,8359.67,196
OXYGEN_SHAKE_MINT,OXYGEN_SHAKE,group_offset,200,3,3,25520.0,5512.0,12577.0,8506.67,172
OXYGEN_SHAKE_MINT,OXYGEN_SHAKE,group_scaled,120,3,3,24973.0,5506.0,10534.0,8324.33,340
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,bucket_mean,120,3,3,27197.0,5478.0,13218.0,9065.67,532
UV_VISOR_MAGENTA,UV_VISOR,group_offset,80,3,3,29098.0,5468.0,12805.0,9699.33,448
SNACKPACK_RASPBERRY,SNACKPACK,group_scaled,160,3,3,22997.0,5437.0,9988.0,7665.67,416
SNACKPACK_RASPBERRY,SNACKPACK,group_scaled,300,3,3,21924.0,5437.0,9446.0,7308.0,216
UV_VISOR_MAGENTA,UV_VISOR,group_offset,40,3,3,27066.0,5422.0,12805.0,9022.0,778
SNACKPACK_STRAWBERRY,SNACKPACK,bucket_delta_b0,160,3,3,20728.0,5349.0,9678.0,6909.33,434
MICROCHIP_SQUARE,MICROCHIP,group_scaled,20,3,3,41786.6,5338.0,24506.0,13928.87,526
OXYGEN_SHAKE_MINT,OXYGEN_SHAKE,group_scaled,80,3,3,31207.0,5332.0,13837.0,10402.33,598
UV_VISOR_RED,UV_VISOR,bucket_delta_b0,300,3,3,42698.0,5239.0,22561.0,14232.67,322
ROBOT_LAUNDRY,ROBOT,bucket_delta_b0,80,3,3,28769.5,5239.0,13070.5,9589.83,1058
SNACKPACK_VANILLA,SNACKPACK,group_scaled,200,3,3,21446.0,5220.0,8191.0,7148.67,294
PEBBLES_S,PEBBLES,bucket_delta_b0,40,3,3,23863.0,5094.0,12412.0,7954.33,1520
OXYGEN_SHAKE_MINT,OXYGEN_SHAKE,group_scaled,200,3,3,17830.0,5079.0,6897.0,5943.33,130
SNACKPACK_PISTACHIO,SNACKPACK,bucket_delta_b0,80,3,3,15723.0,4927.0,5550.0,5241.0,432
UV_VISOR_MAGENTA,UV_VISOR,group_scaled,80,3,3,25000.0,4864.0,12805.0,8333.33,388
UV_VISOR_ORANGE,UV_VISOR,group_offset,160,3,3,24572.0,4841.0,14035.0,8190.67,336
SNACKPACK_RASPBERRY,SNACKPACK,group_scaled,120,3,3,18608.0,4818.0,7392.0,6202.67,434
PEBBLES_L,PEBBLES,group_scaled,300,3,3,52071.0,4805.0,38335.0,17357.0,252
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,bucket_mean,160,3,3,27204.0,4805.0,13879.0,9068.0,426
UV_VISOR_MAGENTA,UV_VISOR,group_offset,200,3,3,24330.0,4784.0,12805.0,8110.0,176
SLEEP_POD_NYLON,SLEEP_POD,group_offset,300,3,3,19166.0,4783.0,8387.0,6388.67,70
UV_VISOR_MAGENTA,UV_VISOR,bucket_mean,80,3,3,22936.0,4747.0,12805.0,7645.33,292
OXYGEN_SHAKE_MINT,OXYGEN_SHAKE,group_scaled,40,3,3,24701.0,4746.0,10275.0,8233.67,804
SLEEP_POD_POLYESTER,SLEEP_POD,bucket_mean,300,3,3,29195.0,4733.0,17454.0,9731.67,140
UV_VISOR_MAGENTA,UV_VISOR,group_offset,120,3,3,26950.0,4719.0,12805.0,8983.33,318
TRANSLATOR_ECLIPSE_CHARCOAL,TRANSLATOR,group_scaled,200,3,3,21223.5,4671.0,8545.0,7074.5,316
TRANSLATOR_ASTRO_BLACK,TRANSLATOR,bucket_delta_b0,80,3,3,25220.0,4668.0,15267.0,8406.67,674
OXYGEN_SHAKE_MINT,OXYGEN_SHAKE,group_scaled,20,3,3,20577.0,4592.0,8634.0,6859.0,1336
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,bucket_mean,300,3,3,32381.0,4514.0,15662.0,10793.67,300
UV_VISOR_MAGENTA,UV_VISOR,group_offset,20,3,3,24547.0,4449.0,12805.0,8182.33,1160
SNACKPACK_STRAWBERRY,SNACKPACK,bucket_delta_b0,80,3,3,16788.6,4402.6,7030.0,5596.2,682
SNACKPACK_VANILLA,SNACKPACK,group_scaled,160,3,3,18984.0,4383.0,8286.0,6328.0,328
UV_VISOR_MAGENTA,UV_VISOR,group_offset,160,3,3,24121.0,4359.0,12805.0,8040.33,204
UV_VISOR_ORANGE,UV_VISOR,group_offset,120,3,3,22984.0,4321.0,13341.0,7661.33,392
PANEL_4X4,PANEL,group_scaled,300,3,3,20578.0,4318.0,9984.0,6859.33,230
SLEEP_POD_COTTON,SLEEP_POD,bucket_mean,300,3,3,24231.0,4280.0,11085.0,8077.0,80
TRANSLATOR_ECLIPSE_CHARCOAL,TRANSLATOR,group_scaled,120,3,3,23227.0,4278.0,9547.0,7742.33,540
GALAXY_SOUNDS_SOLAR_FLAMES,GALAXY_SOUNDS,bucket_mean,160,3,3,34651.0,4259.0,15602.0,11550.33,414
GALAXY_SOUNDS_SOLAR_WINDS,GALAXY_SOUNDS,group_scaled,80,3,3,14165.0,4257.0,5085.0,4721.67,312
UV_VISOR_ORANGE,UV_VISOR,group_offset,80,3,3,21867.0,4234.0,12297.0,7289.0,524
GALAXY_SOUNDS_SOLAR_FLAMES,GALAXY_SOUNDS,bucket_mean,120,3,3,33227.0,4200.0,15117.0,11075.67,514
UV_VISOR_ORANGE,UV_VISOR,group_scaled,300,3,3,22705.0,4146.0,10984.0,7568.33,132
TRANSLATOR_ASTRO_BLACK,TRANSLATOR,bucket_delta_b0,40,3,3,25551.0,4140.0,14543.0,8517.0,1290
UV_VISOR_MAGENTA,UV_VISOR,bucket_mean,160,3,3,23490.0,4017.0,12805.0,7830.0,202
PEBBLES_L,PEBBLES,bucket_delta_b0,160,3,3,26524.0,4000.0,15780.0,8841.33,742
SNACKPACK_RASPBERRY,SNACKPACK,group_offset,160,3,3,23427.0,3927.0,12188.0,7809.0,378
SNACKPACK_RASPBERRY,SNACKPACK,group_scaled,200,3,3,21617.0,3792.0,9996.0,7205.67,338
SLEEP_POD_COTTON,SLEEP_POD,bucket_mean,80,3,3,25604.0,3777.0,11085.0,8534.67,190
TRANSLATOR_GRAPHITE_MIST,TRANSLATOR,group_offset,120,3,3,23909.0,3742.0,15716.0,7969.67,372
UV_VISOR_ORANGE,UV_VISOR,group_scaled,20,3,3,18498.0,3720.0,7499.0,6166.0,1416
SNACKPACK_PISTACHIO,SNACKPACK,bucket_delta_b0,120,3,3,11633.0,3662.0,4029.0,3877.67,250
TRANSLATOR_GRAPHITE_MIST,TRANSLATOR,group_scaled,160,3,3,25404.0,3639.0,14202.0,8468.0,346
UV_VISOR_MAGENTA,UV_VISOR,group_scaled,40,3,3,23138.0,3639.0,12805.0,7712.67,652
SLEEP_POD_COTTON,SLEEP_POD,bucket_mean,200,3,3,22673.0,3595.0,11085.0,7557.67,70
SLEEP_POD_NYLON,SLEEP_POD,group_offset,200,3,3,22094.0,3595.0,10112.0,7364.67,130
SNACKPACK_VANILLA,SNACKPACK,group_scaled,80,3,3,19349.0,3590.0,7897.0,6449.67,554
ROBOT_LAUNDRY,ROBOT,bucket_delta_b0,40,3,3,24483.0,3572.0,10569.0,8161.0,1842
TRANSLATOR_GRAPHITE_MIST,TRANSLATOR,group_scaled,300,3,3,31225.0,3520.0,16948.0,10408.33,264
SNACKPACK_VANILLA,SNACKPACK,bucket_mean,200,3,3,20289.0,3505.0,8572.0,6763.0,292
UV_VISOR_ORANGE,UV_VISOR,group_offset,40,3,3,16361.0,3489.0,8964.0,5453.67,710
SNACKPACK_VANILLA,SNACKPACK,group_offset,200,3,3,20563.0,3451.0,8715.0,6854.33,306
SLEEP_POD_COTTON,SLEEP_POD,bucket_mean,20,3,3,25039.0,3419.0,11085.0,8346.33,502
SNACKPACK_PISTACHIO,SNACKPACK,bucket_delta_b0,40,3,3,16080.0,3416.0,7280.0,5360.0,1142
PEBBLES_S,PEBBLES,bucket_delta_b0,20,3,3,20563.0,3361.0,11736.0,6854.33,2234
SNACKPACK_CHOCOLATE,SNACKPACK,group_scaled,160,3,3,12732.0,3313.0,4798.0,4244.0,222
UV_VISOR_MAGENTA,UV_VISOR,group_scaled,120,3,3,22882.0,3298.0,12805.0,7627.33,252
SLEEP_POD_COTTON,SLEEP_POD,bucket_mean,40,3,3,25205.0,3285.0,11085.0,8401.67,314
OXYGEN_SHAKE_EVENING_BREATH,OXYGEN_SHAKE,group_offset,300,3,3,31990.0,3260.0,19950.0,10663.33,200
SNACKPACK_CHOCOLATE,SNACKPACK,group_scaled,120,3,3,12406.0,3253.0,4771.0,4135.33,290
SLEEP_POD_POLYESTER,SLEEP_POD,bucket_mean,200,3,3,27840.0,3218.0,17454.0,9280.0,182
SNACKPACK_VANILLA,SNACKPACK,group_scaled,120,3,3,18322.0,3209.0,8994.0,6107.33,416
UV_VISOR_MAGENTA,UV_VISOR,bucket_mean,40,3,3,21648.0,3208.0,12805.0,7216.0,528
UV_VISOR_MAGENTA,UV_VISOR,group_scaled,200,3,3,26591.0,3196.0,12805.0,8863.67,216
SLEEP_POD_COTTON,SLEEP_POD,bucket_mean,160,3,3,23325.0,3187.0,11085.0,7775.0,90
TRANSLATOR_GRAPHITE_MIST,TRANSLATOR,group_scaled,40,3,3,24775.0,3170.0,14308.0,8258.33,1048
PANEL_1X2,PANEL,group_scaled,300,3,3,23023.0,3151.0,15795.0,7674.33,148
ROBOT_IRONING,ROBOT,group_offset,300,3,3,18650.0,3130.0,7820.0,6216.67,130
ROBOT_IRONING,ROBOT,group_offset,200,3,3,17502.0,3130.0,7303.0,5834.0,150
ROBOT_IRONING,ROBOT,group_offset,160,3,3,16120.0,3130.0,6930.0,5373.33,150
ROBOT_IRONING,ROBOT,group_offset,120,3,3,16010.0,3130.0,7000.0,5336.67,170
ROBOT_IRONING,ROBOT,group_offset,80,3,3,13813.0,3130.0,6919.0,4604.33,170
ROBOT_IRONING,ROBOT,group_offset,40,3,3,13697.0,3130.0,6754.0,4565.67,252
ROBOT_IRONING,ROBOT,bucket_mean,40,3,3,13066.0,3130.0,5870.0,4355.33,220
ROBOT_IRONING,ROBOT,bucket_mean,200,3,3,13040.0,3130.0,5600.0,4346.67,90
ROBOT_IRONING,ROBOT,bucket_mean,160,3,3,12640.0,3130.0,5700.0,4213.33,90
ROBOT_IRONING,ROBOT,bucket_mean,80,3,3,12486.0,3130.0,5752.0,4162.0,98
ROBOT_IRONING,ROBOT,bucket_mean,20,3,3,12332.0,3130.0,5711.0,4110.67,388
ROBOT_IRONING,ROBOT,bucket_mean,120,3,3,12283.0,3130.0,5733.0,4094.33,90
ROBOT_IRONING,ROBOT,bucket_mean,300,3,3,12165.0,3130.0,5300.0,4055.0,76
SNACKPACK_VANILLA,SNACKPACK,group_scaled,40,3,3,14212.0,3110.0,5660.0,4737.33,1018
SNACKPACK_CHOCOLATE,SNACKPACK,group_offset,120,3,3,19677.0,3077.0,10824.0,6559.0,422
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,bucket_mean,80,3,3,27585.0,3063.0,12524.0,9195.0,730
SNACKPACK_CHOCOLATE,SNACKPACK,bucket_delta_b0,160,3,3,17934.0,3058.0,8573.0,5978.0,312
TRANSLATOR_GRAPHITE_MIST,TRANSLATOR,group_offset,80,3,3,22864.0,3051.0,14888.0,7621.33,514
UV_VISOR_ORANGE,UV_VISOR,group_offset,20,3,3,13130.0,3047.0,7028.0,4376.67,962
SLEEP_POD_NYLON,SLEEP_POD,group_offset,160,3,3,20907.0,3043.0,9477.0,6969.0,132
ROBOT_MOPPING,ROBOT,group_scaled,80,3,3,27138.9,3040.0,13742.9,9046.3,410
SLEEP_POD_NYLON,SLEEP_POD,group_offset,80,3,3,18352.9,3039.9,8387.0,6117.63,134
SNACKPACK_CHOCOLATE,SNACKPACK,bucket_mean,300,3,3,12185.0,3038.0,4648.0,4061.67,118
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,bucket_mean,40,3,3,27641.0,3022.0,12336.0,9213.67,1432
TRANSLATOR_ASTRO_BLACK,TRANSLATOR,bucket_delta_b0,20,3,3,20548.0,2993.0,12254.0,6849.33,2010
SLEEP_POD_COTTON,SLEEP_POD,bucket_mean,120,3,3,22602.0,2982.0,11085.0,7534.0,96
SNACKPACK_CHOCOLATE,SNACKPACK,bucket_delta_b0,200,3,3,13173.0,2943.0,5629.0,4391.0,204
ROBOT_IRONING,ROBOT,group_offset,20,3,3,11926.0,2930.0,5866.0,3975.33,332
SNACKPACK_VANILLA,SNACKPACK,bucket_mean,160,3,3,19033.0,2926.0,8976.0,6344.33,336
TRANSLATOR_GRAPHITE_MIST,TRANSLATOR,group_offset,200,3,3,24798.0,2922.0,15857.0,8266.0,252
TRANSLATOR_GRAPHITE_MIST,TRANSLATOR,group_offset,40,3,3,21965.9,2907.0,15000.0,7321.97,936
ROBOT_LAUNDRY,ROBOT,bucket_delta_b0,120,3,3,21048.0,2900.0,12585.0,7016.0,650
SNACKPACK_CHOCOLATE,SNACKPACK,group_scaled,200,3,3,11692.0,2868.0,5449.0,3897.33,174
SNACKPACK_STRAWBERRY,SNACKPACK,bucket_delta_b0,120,3,3,17038.0,2866.0,8030.0,5679.33,494
UV_VISOR_MAGENTA,UV_VISOR,group_scaled,160,3,3,24118.0,2855.0,12805.0,8039.33,212
UV_VISOR_MAGENTA,UV_VISOR,bucket_mean,20,3,3,19810.0,2830.0,12805.0,6603.33,820
GALAXY_SOUNDS_SOLAR_WINDS,GALAXY_SOUNDS,group_scaled,40,3,3,11053.0,2823.0,5085.0,3684.33,500
SNACKPACK_RASPBERRY,SNACKPACK,group_scaled,80,3,3,16084.0,2730.0,6727.0,5361.33,538
SNACKPACK_STRAWBERRY,SNACKPACK,bucket_delta_b0,40,3,3,9089.0,2713.0,3605.0,3029.67,1120
TRANSLATOR_ASTRO_BLACK,TRANSLATOR,bucket_delta_b0,300,3,3,12347.0,2628.0,6900.0,4115.67,144
SNACKPACK_RASPBERRY,SNACKPACK,bucket_mean,80,3,3,14625.0,2590.0,7658.0,4875.0,554
TRANSLATOR_ASTRO_BLACK,TRANSLATOR,bucket_delta_b0,120,3,3,24743.0,2577.0,15616.0,8247.67,478
SLEEP_POD_POLYESTER,SLEEP_POD,group_offset,200,3,3,33548.0,2569.0,21770.0,11182.67,340
SNACKPACK_VANILLA,SNACKPACK,bucket_mean,300,3,3,16253.0,2563.0,6865.0,5417.67,167
PANEL_2X2,PANEL,bucket_delta_b0,120,3,3,14942.0,2528.0,8606.0,4980.67,446
SNACKPACK_VANILLA,SNACKPACK,group_offset,160,3,3,17922.0,2519.0,8481.0,5974.0,344
SNACKPACK_RASPBERRY,SNACKPACK,group_offset,80,3,3,17971.0,2515.0,9397.0,5990.33,580
SNACKPACK_RASPBERRY,SNACKPACK,group_offset,40,3,3,15905.0,2508.0,7898.0,5301.67,1214
SLEEP_POD_NYLON,SLEEP_POD,group_offset,120,3,3,20408.0,2505.0,9516.0,6802.67,158
PEBBLES_XS,PEBBLES,bucket_delta_b0,40,3,3,26660.0,2493.0,17850.0,8886.67,2362
SNACKPACK_RASPBERRY,SNACKPACK,group_offset,120,3,3,20178.0,2469.0,10287.0,6726.0,430
UV_VISOR_MAGENTA,UV_VISOR,group_scaled,20,3,3,20595.0,2424.0,12805.0,6865.0,926
ROBOT_LAUNDRY,ROBOT,bucket_delta_b0,20,3,3,19823.0,2417.0,8812.0,6607.67,3356
SLEEP_POD_POLYESTER,SLEEP_POD,group_offset,120,3,3,33538.0,2390.0,21012.0,11179.33,456
TRANSLATOR_GRAPHITE_MIST,TRANSLATOR,group_scaled,20,3,3,20915.0,2358.0,14129.0,6971.67,1804
GALAXY_SOUNDS_SOLAR_WINDS,GALAXY_SOUNDS,group_scaled,120,3,3,13303.0,2358.0,5860.0,4434.33,222
SNACKPACK_CHOCOLATE,SNACKPACK,group_offset,80,3,3,20328.0,2350.0,13717.0,6776.0,582
ROBOT_MOPPING,ROBOT,group_scaled,160,3,3,22289.0,2335.0,10938.0,7429.67,236
SLEEP_POD_POLYESTER,SLEEP_POD,group_offset,160,3,3,32373.0,2323.0,19870.0,10791.0,372
SNACKPACK_CHOCOLATE,SNACKPACK,bucket_delta_b0,300,3,3,9358.0,2321.0,4715.0,3119.33,90
SNACKPACK_CHOCOLATE,SNACKPACK,group_offset,300,3,3,8022.0,2268.0,3234.0,2674.0,90
SLEEP_POD_POLYESTER,SLEEP_POD,group_offset,20,3,3,32633.0,2256.0,22255.0,10877.67,1634
SNACKPACK_RASPBERRY,SNACKPACK,bucket_delta_b0,40,3,3,11700.0,2239.0,4766.0,3900.0,1008
PANEL_2X2,PANEL,group_scaled,40,3,3,29673.0,2201.0,15046.0,9891.0,388
PANEL_2X2,PANEL,group_scaled,80,3,3,29080.0,2201.0,15414.0,9693.33,188
PANEL_2X2,PANEL,group_scaled,20,3,3,28513.0,2201.0,14792.0,9504.33,648
PANEL_2X2,PANEL,group_scaled,200,3,3,24254.0,2201.0,14405.0,8084.67,120
PANEL_2X2,PANEL,group_scaled,300,3,3,23903.0,2201.0,14244.0,7967.67,100
PANEL_2X2,PANEL,group_scaled,120,3,3,23462.0,2201.0,11618.0,7820.67,150
PANEL_2X2,PANEL,group_scaled,160,3,3,23200.0,2201.0,13221.0,7733.33,120
PANEL_2X2,PANEL,group_offset,80,3,3,23132.0,2201.0,10596.0,7710.67,382
PANEL_2X2,PANEL,group_offset,40,3,3,22570.0,2201.0,10725.0,7523.33,736
PANEL_2X2,PANEL,group_offset,120,3,3,22378.0,2201.0,11434.0,7459.33,300
PANEL_2X2,PANEL,group_offset,200,3,3,22180.0,2201.0,10617.0,7393.33,200
