product,group,path_type,threshold,exit_band,train_days,test_day,pnl,trades,end_pos
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,group_scaled,200,50.0,2+4,3,6861.0,10,10
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,group_scaled,200,50.0,2+3,4,-12058.0,30,-10
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,group_scaled,300,75.0,3+4,2,14213.0,50,-10
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,group_scaled,300,75.0,2+4,3,6861.0,10,10
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,group_scaled,300,75.0,2+3,4,-8835.0,50,-10
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,bucket_mean,20,20.0,3+4,2,9385.0,1262,0
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,bucket_mean,20,20.0,2+4,3,1566.0,812,-10
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,bucket_mean,20,20.0,2+3,4,11079.0,404,10
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,bucket_mean,40,20.0,3+4,2,12283.0,724,0
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,bucket_mean,40,20.0,2+4,3,3022.0,472,-10
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,bucket_mean,40,20.0,2+3,4,12336.0,236,10
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,bucket_mean,80,20.0,3+4,2,11998.0,352,0
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,bucket_mean,80,20.0,2+4,3,3063.0,238,-10
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,bucket_mean,80,20.0,2+3,4,12524.0,140,10
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,bucket_mean,120,30.0,3+4,2,8501.0,188,0
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,bucket_mean,120,30.0,2+4,3,5478.0,214,-10
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,bucket_mean,120,30.0,2+3,4,13218.0,130,10
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,bucket_mean,160,40.0,3+4,2,8520.0,148,0
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,bucket_mean,160,40.0,2+4,3,4805.0,164,-10
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,bucket_mean,160,40.0,2+3,4,13879.0,114,10
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,bucket_mean,200,50.0,3+4,2,8166.0,128,0
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,bucket_mean,200,50.0,2+4,3,5873.0,150,-10
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,bucket_mean,200,50.0,2+3,4,15044.0,108,10
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,bucket_mean,300,75.0,3+4,2,4514.0,60,0
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,bucket_mean,300,75.0,2+4,3,12205.0,150,-10
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,bucket_mean,300,75.0,2+3,4,15662.0,90,10
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,bucket_delta_b0,20,20.0,3+4,2,-211.0,492,-10
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,bucket_delta_b0,20,20.0,2+4,3,109.0,782,-10
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,bucket_delta_b0,20,20.0,2+3,4,348.0,132,10
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,bucket_delta_b0,40,20.0,3+4,2,841.0,300,-10
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,bucket_delta_b0,40,20.0,2+4,3,2943.0,518,-10
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,bucket_delta_b0,40,20.0,2+3,4,1248.0,118,10
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,bucket_delta_b0,80,20.0,3+4,2,1990.0,176,-10
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,bucket_delta_b0,80,20.0,2+4,3,6384.0,346,-10
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,bucket_delta_b0,80,20.0,2+3,4,1826.0,72,10
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,bucket_delta_b0,120,30.0,3+4,2,780.0,108,-10
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,bucket_delta_b0,120,30.0,2+4,3,9972.0,324,-10
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,bucket_delta_b0,120,30.0,2+3,4,2485.0,70,10
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,bucket_delta_b0,160,40.0,3+4,2,-987.0,70,-10
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,bucket_delta_b0,160,40.0,2+4,3,12908.0,290,-10
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,bucket_delta_b0,160,40.0,2+3,4,2362.0,50,10
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,bucket_delta_b0,200,50.0,3+4,2,-5565.0,10,-10
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,bucket_delta_b0,200,50.0,2+4,3,11143.0,212,-10
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,bucket_delta_b0,200,50.0,2+3,4,2911.0,50,10
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,bucket_delta_b0,300,75.0,3+4,2,-5311.0,10,-10
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,bucket_delta_b0,300,75.0,2+4,3,3794.0,70,-10
