product,side,horizon,group,splits,min_top5_edge,mean_top5_edge,min_top5_win,mean_corr,rank_score
ROBOT_DISHES,long,1000,ROBOT,3,132.1707305908203,227.76423136393228,0.6097560975609756,0.299760889947628,80.59190889684166
UV_VISOR_ORANGE,short,500,UV,3,112.48780822753906,131.62601725260416,0.6829268292682927,-0.029436913888169904,76.82094220417302
PANEL_1X4,short,500,PANEL,3,138.31707763671875,210.59350077311197,0.5365853658536586,0.17198942667742065,74.21891970750762
SNACKPACK_STRAWBERRY,short,1000,SNACKPACK,3,131.90243530273438,138.70731099446616,0.5609756097560976,0.3928231478622481,73.99404907226564
MICROCHIP_RECTANGLE,long,500,MICROCHIP,3,119.0243911743164,169.52032216389975,0.6097560975609756,0.2579146539401888,72.5758482770222
SLEEP_POD_NYLON,long,1000,SLEEP,3,95.17073059082031,161.39024353027344,0.7317073170731707,0.37556696831264363,69.63711994450267
OXYGEN_SHAKE_GARLIC,long,200,OXYGEN,3,91.92682647705078,95.59349568684895,0.7317073170731707,0.22307768321568633,67.26353156857374
OXYGEN_SHAKE_EVENING_BREATH,long,500,OXYGEN,3,144.9268341064453,222.40650939941406,0.4634146341463415,0.23017933162419912,67.16121580542588
OXYGEN_SHAKE_CHOCOLATE,long,500,OXYGEN,3,99.19512176513672,125.28455352783203,0.6585365853658537,0.18911161854859337,65.3236167721632
MICROCHIP_OVAL,short,200,MICROCHIP,3,83.68292999267578,113.30081431070964,0.7804878048780488,0.2076923076395428,65.31350633574695
PEBBLES_L,short,200,PEBBLES,3,83.51219177246094,108.9674784342448,0.7804878048780488,0.05729844855997787,65.18024723704268
TRANSLATOR_VOID_BLUE,long,500,TRANSLATOR,3,93.8780517578125,134.57723744710287,0.6829268292682927,0.24920145455084675,64.11184022484757
GALAXY_SOUNDS_PLANETARY_RINGS,short,500,GALAXY,3,89.8536605834961,167.58536529541016,0.7073170731707317,0.14897728390925447,63.555028217594796
UV_VISOR_MAGENTA,long,500,UV,3,86.19512176513672,146.54471588134766,0.6585365853658537,0.2286384354764642,56.76264116240711
MICROCHIP_TRIANGLE,short,500,MICROCHIP,3,87.90243530273438,176.71543884277344,0.6097560975609756,0.22192306618752464,53.59904591630145
GALAXY_SOUNDS_PLANETARY_RINGS,short,1000,GALAXY,3,80.34146118164062,339.44715372721356,0.6585365853658537,0.2157684683706079,52.9077915098609
OXYGEN_SHAKE_MORNING_BREATH,short,1000,OXYGEN,3,82.36585235595703,279.2276433308919,0.6341463414634146,0.35190038780474064,52.232003933045924
SLEEP_POD_LAMB_WOOL,long,1000,SLEEP,3,75.31707000732422,157.64227549235025,0.6829268292682927,0.31686967320766884,51.43604780987996
SLEEP_POD_SUEDE,short,1000,SLEEP,3,91.0243911743164,233.51218922932944,0.5609756097560976,0.5002530043937449,51.06246334168969
PEBBLES_M,long,500,PEBBLES,3,79.04878234863281,144.9674835205078,0.6097560975609756,0.31546459949609185,48.200477041849275
OXYGEN_SHAKE_MINT,short,1000,OXYGEN,3,71.24390411376953,236.121945699056,0.6585365853658537,0.2077924685542866,46.91671734321408
ROBOT_DISHES,long,500,ROBOT,3,82.43902587890625,118.13008117675781,0.5609756097560976,0.2690833594119079,46.246282810118146
GALAXY_SOUNDS_SOLAR_FLAMES,short,1000,GALAXY,3,67.39024353027344,187.46341451009116,0.6829268292682927,0.2498357171909149,46.02260533774772
GALAXY_SOUNDS_SOLAR_WINDS,short,200,GALAXY,3,63.82926940917969,67.05691019694011,0.6585365853658537,0.13170138592604827,42.033909123118335
TRANSLATOR_ASTRO_BLACK,long,1000,TRANSLATOR,3,65.09756469726562,106.82113901774089,0.6341463414634146,0.3628882246900029,41.281382490948936
PEBBLES_XS,long,200,PEBBLES,3,54.5121955871582,62.03252029418945,0.7560975609756098,0.12844978040745567,41.21653812687571
MICROCHIP_SQUARE,short,200,MICROCHIP,3,65.70731353759766,127.72357686360677,0.6097560975609756,0.1904980622748488,40.06543508390101
GALAXY_SOUNDS_BLACK_HOLES,long,500,GALAXY,3,67.73170471191406,84.1869888305664,0.5853658536585366,0.06931722466186434,39.6478271484375
SLEEP_POD_SUEDE,short,500,SLEEP,3,70.46341705322266,109.52032725016277,0.5609756097560976,0.32245605335472116,39.52825834692979
PEBBLES_XL,long,100,PEBBLES,3,70.17073059082031,140.51219685872397,0.5609756097560976,0.16535313986105168,39.364068380216274
TRANSLATOR_SPACE_GRAY,short,200,TRANSLATOR,3,61.63414764404297,84.26829274495442,0.6341463414634146,0.23402340256722667,39.08506923768579
GALAXY_SOUNDS_BLACK_HOLES,long,1000,GALAXY,3,71.1463394165039,202.01625315348306,0.5365853658536586,0.20931542760867547,38.17608456495332
PANEL_2X4,short,1000,PANEL,3,61.70731735229492,121.35772069295247,0.6097560975609756,0.49379788128829744,37.62641301969202
PEBBLES_XS,long,1000,PEBBLES,3,63.39024353027344,253.30894470214844,0.5853658536585366,0.29126246143233553,37.10648401772104
ROBOT_DISHES,long,200,ROBOT,3,65.63414764404297,76.9268290201823,0.5609756097560976,0.21764510766669035,36.81915599543874
OXYGEN_SHAKE_MORNING_BREATH,short,500,OXYGEN,3,53.95121765136719,130.0569101969401,0.6585365853658537,0.27988922458643345,35.52885064846132
SLEEP_POD_NYLON,long,500,SLEEP,3,56.0,79.76422627766927,0.6341463414634146,0.27557251036698527,35.51219512195122
SNACKPACK_RASPBERRY,long,1000,SNACKPACK,3,75.56097412109375,92.99999745686848,0.4634146341463415,0.3941691160139728,35.01606117806784
SLEEP_POD_SUEDE,long,500,SLEEP,3,64.8536605834961,146.59349568684897,0.5365853658536586,0.31874897995590634,34.79952519114425
ROBOT_LAUNDRY,long,500,ROBOT,3,74.90243530273438,130.86178588867188,0.43902439024390244,0.21177922876228406,32.88399598656631
SNACKPACK_CHOCOLATE,short,200,SNACKPACK,3,44.29268264770508,53.30894343058268,0.7317073170731707,0.23098233606106752,32.40927998612567
