source_product,feature,mean_importance,min_importance
OXYGEN_SHAKE_CHOCOLATE,ret50,0.0002230504145079622,0.00013874326395451995
OXYGEN_SHAKE_MORNING_BREATH,ret50,0.0002212366119079207,0.0001712098121776978
PANEL_2X4,ret50,0.00022121962193972158,0.00018580729237761292
PANEL_1X2,ret50,0.00022080023125880217,0.00013266083092392794
TRANSLATOR_GRAPHITE_MIST,ret50,0.00021153307849121512,0.00015210307944021266
UV_VISOR_MAGENTA,ret50,0.0002051797135130208,0.0001667078488388581
SLEEP_POD_POLYESTER,ret50,0.00020378268489519295,0.00012817646905628128
SLEEP_POD_SUEDE,ret50,0.00019966669567527784,0.00017065963400267586
TRANSLATOR_ECLIPSE_CHARCOAL,ret50,0.00019853550412741463,0.00015680194860525823
ROBOT_VACUUMING,ret50,0.00019804134064628447,0.00015608376713807255
TRANSLATOR_ASTRO_BLACK,ret50,0.00019598029543467524,7.605640271649991e-05
UV_VISOR_ORANGE,ret50,0.00019477859416883983,0.00010301907351640744
PEBBLES_M,ret50,0.00019316946231045194,0.00018771887445516002
UV_VISOR_YELLOW,ret50,0.00019013595332096256,0.00016716265889311585
OXYGEN_SHAKE_MINT,ret50,0.00018893586965645969,0.00010229108531079402
PEBBLES_M,spread,0.000188126239340029,0.0
PEBBLES_S,ret50,0.0001807305098608215,8.233323464650486e-05
MICROCHIP_TRIANGLE,ret50,0.00017821569080442344,0.00016730664920406593
GALAXY_SOUNDS_BLACK_HOLES,ret50,0.0001731106112591659,0.000125174576024082
GALAXY_SOUNDS_DARK_MATTER,ret50,0.00017146733254081467,0.0001211926176901918
ROBOT_MOPPING,ret50,0.0001704323288871764,8.627884960758129e-05
SNACKPACK_RASPBERRY,ret50,0.0001672096226472535,0.00013604497641787005
GALAXY_SOUNDS_PLANETARY_RINGS,ret50,0.00015516768395271665,0.00011780377460587163
PEBBLES_XS,ret50,0.00014372324625272644,0.00012002490696445981
GALAXY_SOUNDS_SOLAR_WINDS,ret50,0.00013217889248722523,8.186521436468402e-05
TRANSLATOR_VOID_BLUE,ret50,0.00013101073594580122,9.512479301187771e-05
PANEL_2X4,group_mid_rank,0.00012168171504928584,0.0
SNACKPACK_STRAWBERRY,ret50,9.271162755423632e-05,5.458469364709307e-05
OXYGEN_SHAKE_EVENING_BREATH,spread,8.53232006741832e-05,0.0
UV_VISOR_AMBER,group_mid_rank,4.574291098894355e-05,0.0
PANEL_1X2,spread,1.7738712151702567e-05,0.0
SLEEP_POD_COTTON,spread,1.549919105178946e-05,0.0
UV_VISOR_ORANGE,ret10,1.182351489304976e-05,2.0436001604272167e-06
PEBBLES_M,ret10,9.794572599907938e-06,0.0
GALAXY_SOUNDS_SOLAR_WINDS,ret10,9.290346771774743e-06,0.0
PANEL_1X2,ret10,8.622276871896713e-06,5.9176684060304534e-06
